dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_lord_give_order:lord_give_order_details_ask|Begebt Euch zu ...
dlga_lord_give_order:lord_give_order_details_ask.1|Überfallt die Umgebung des Dorfes ...
dlga_lord_give_order:lord_give_order_details_ask.2|Patrouilliert um ...
dlga_lord_give_order:lord_give_order_stop|Ich werde Eure Dienste einige Zeit nicht benötigen. Ihr seid frei, Euren eigenen Dingen nachzugehen.
dlga_lord_give_order:lord_pretalk|Schon gut.
dlga_lord_give_order_details_ask:lord_give_order_details|Wo?
dlga_lord_give_order_details:lord_give_order_answer|{s1}
dlga_lord_give_order_details:lord_pretalk|Schon gut.
dlga_lord_give_order_stop:lord_pretalk|In Ordnung. Ich werde dem Folge leisten.
dlga_lord_give_order_answer:lord_pretalk|Es tut mir Leid. Ich muss mich momentan eigenen Belangen widmen.
dlga_lord_give_order_answer:lord_give_order_answer_2|.
dlga_lord_give_order_answer_2:close_window|Ich werde dem Folge leisten.
dlga_lord_give_order_answer_2:lord_pretalk|Es tut mir Leid, aber dies steht nicht in meiner Macht.
dlga_lord_talk:lord_give_order_call_to_arms_verify|Ich möchte einen neuen Feldzug beginnen. Lasst uns die Armee hier zusammenführen.
dlga_lord_give_order_call_to_arms_verify:lord_give_order_call_to_arms_verify_2|Möchtet Ihr sämtliche Fürsten für einen neuen Feldzug zusammenrufen?
dlga_lord_give_order_call_to_arms_verify_2:lord_give_order_call_to_arms|Jawohl. Bevor wir gegen den Feind marschieren, müssen wir all unsere Truppe sammeln.
dlga_lord_give_order_call_to_arms_verify_2:lord_pretalk|Bei näherem Nachdenken ist es wohl doch nicht erforderlich, alle herbei zu rufen.
dlga_lord_give_order_call_to_arms:lord_pretalk|Nun gut. Ich werden Boten entsenden, und allen mitteilen lassen, sich hier einzufinden.
dlga_lord_talk:lord_give_order_disband_army_verify|Ich möchte den Feldzug beenden und alle nach Hause zurückkehren lassen.
dlga_lord_give_order_disband_army_verify:lord_give_order_disband_army_2|Ihr möchtet den aktuellen Feldzug beenden und alle Fürsten Ihrer Pflichten entbinden?
dlga_lord_give_order_disband_army_2:lord_give_order_disband_army|Jawohl. Wir benötigen hier nicht länger sämtliche Truppen.
dlga_lord_give_order_disband_army_2:lord_pretalk|Bei näherem Nachdenken wäre es wohl besser, vorerst zusammen zu bleiben.
dlga_lord_give_order_disband_army:lord_pretalk|In Ordnung. Ich werde allen mitteilen, dass sie Ihrer Pflichten entbunden sind.
dlga_lord_talk:lord_talk_ask_something|Ich möchte Euch etwas fragen.
dlga_lord_talk_ask_something:lord_talk_ask_something_2|Hmmm? Was gibt es denn?
dlga_lord_talk_ask_something_2:lord_talk_ask_location|Ich möchte den Aufenthaltsort einer Person wissen.
dlga_lord_talk_ask_something_2:lord_tell_objective|Mit welcher Unternehmung seid Ihr und Eure Männer beschäftigt?
dlga_lord_talk_ask_something_2:lord_talk_ask_about_war|Wie läuft der Krieg?
dlga_lord_talk_ask_something_2:lord_pretalk|Schon gut.
dlga_lord_talk_ask_location:lord_talk_ask_location_2|Nun gut, ich könnte eine Antwort für Euch haben ... oder auch nicht. Über wen möchtet Ihr Bescheid wissen?
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_2:lord_pretalk|Schon gut.
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_2:lord_talk_ask_about_war_details|Erzählt mir mehr über den Krieg mit {s1}.
dlga_lord_talk_ask_about_war_2:lord_pretalk|Mehr wollte ich nicht wissen. Ich danke Euch.
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|Wir haben {reg5?{reg5}:keine} {reg3?Armeen:Armee} und sie haben {reg6?{reg6}:keine}. Insgesamt, {s9}.
dlga_lord_talk:party_encounter_lord_hostile_ultimatum_surrender|{s4}, ich werde dies nur einmal sagen! Ergebt Euch oder sterbt!
dlga_party_encounter_lord_hostile_ultimatum_surrender:close_window|{s43}
dlga_lord_talk:lord_predemand|Ich bin hier, um Euch meine Bedingungen zu unterbreiten!
dlga_lord_predemand:lord_demand|Was? Was wollt Ihr?
dlga_lord_demand:lord_ultimatum_surrender|Ich gebe Euch die Gelegenheit, Euch zu ergeben. Ansonsten müsst Ihr sterben.
dlga_lord_ultimatum_surrender:lord_attack_verify|{s43}
dlga_lord_attack_verify:lord_attack_verify_cancel|Vergebt mir, Herr. Ich weiß nicht, was mir in den Sinn gekommen ist.
dlga_lord_attack_verify_cancel:close_window|Dann packt Euch.
dlga_lord_attack_verify:lord_attack_verify_commit|Das geht Euch nichts an. Bereitet Euch auf den Kampf vor!
dlga_lord_ultimatum_surrender:lord_attack_verify_b|{s43}
dlga_lord_attack_verify_b:lord_attack_verify_cancel|Vergebt mir, Herr. Ich weiß nicht, was mir in den Sinn gekommen ist.
dlga_lord_attack_verify_b:lord_attack_verify_commit|Ich weiche nicht von der Stelle. Bereitet Euch auf den Kampf vor!
dlga_lord_attack_verify_commit:close_window|{s43}
dlga_lord_demand:lord_pretalk|Vergebt mir. Nichts.
dlga_lord_talk:liege_defends_claim_1|Ich traf auf meinen Reisen eine Person namens ...
dlga_liege_defends_claim_1:liege_defends_claim_2|Tatsächlich? Nicht jedermann wagt, diesen Namen in meiner Gegenwart auszusprechen. Ich weiß nicht, ob Ich Euren Mut belohnen oder Eure Unverfrorenheit bestrafen soll.
dlga_liege_defends_claim_2:liege_defends_claim_3|Nun gut. Ich werde Eurer Neugier nachgeben. Aber hört gut zu, denn ich wünsche nicht, noch einmal über diese Angelegenheit zu sprechen.
dlga_liege_defends_claim_3:liege_defends_claim_4|{s48}
dlga_liege_defends_claim_4:lord_talk|{s48}
dlga_lord_talk:lord_join_rebellion_suggest|{s12} ist der rechtmäßige Herrscher {s14}. Tretet unserem Kampf gegen den Thronräuber {s15} bei!
dlga_lord_talk:lord_join_rebellion_suggest_cheat|CHEAT: Join our cause by force.
dlga_party_encounter_lord_hostile_attacker_2:lord_join_rebellion_suggest_cheat|CHEAT: Join our cause by force.
dlga_lord_join_rebellion_suggest_cheat:lord_join_rebellion_ask_for_order|Cheat:Allright.
dlga_party_encounter_lord_hostile_attacker_2:lord_join_rebellion_suggest|{s12} ist Euer rechtmäßiger Herrscher. Tretet unserem Kampf gegen den Thronräuber {s15} bei!
dlga_lord_join_rebellion_suggest:party_encounter_lord_hostile_attacker_2|Ich habe keine Zeit, Worte mit Leuten Eures Schlages zu wechseln. Nun greift zum Schwert und verteidigt Euch!
dlga_lord_join_rebellion_suggest:lord_start|Ich habe keine Zeit, Worte mit Leuten Eures Schlages zu wechseln.
dlga_lord_join_rebellion_suggest:party_encounter_lord_hostile_attacker_2.1|{s43}
dlga_lord_join_rebellion_suggest:lord_start.1|{s43}
dlga_lord_join_rebellion_suggest:lord_join_rebellion_suggest_1b|{s43}
dlga_lord_join_rebellion_suggest_1b:lord_join_rebellion_suggest_2|{s43}
dlga_lord_join_rebellion_suggest_2:lord_join_rebellion_suggest_2|{s47}
dlga_lord_join_rebellion_suggest_2:lord_join_rebellion_suggest_2.1|{s43}
dlga_lord_join_rebellion_suggest_2:lord_join_rebellion_suggest_3|Also sagt es mir. Wenn sollte ich unterschützen, {s45}?
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4|Rechtmäßigkeit -- {s45} hat den besseren Thronanspruch.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.1|Gerechtigkeit -- {s45} wird {reg39?ihre:seine} Untertanen besser als {s46} behandeln.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.2|Zweckmäßigkeit -- {s45} wird gewinnen, und je schneller {reg39?sie:er} siegt, desto eher wird dieser Krieg enden.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.3|Eigennutz -- {s45} wird {reg39?ihre:seine} Anhänger gut belohnen.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.4|Keiner der üblichen Gründe. Meine Denkweise ist etwas anders.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_4.5|Es gibt mehr als einen Grund. Ich werde Euch selbst entscheiden lassen.
dlga_lord_join_rebellion_suggest_3:lord_join_rebellion_suggest_5|Wenn Ihr so denkt, solltet Ihr erwägen, {s46} gegenüber loyal zu bleiben.
dlga_lord_join_rebellion_suggest_4:lord_join_rebellion_suggest_4|Hmmm. Könnte es sein, dass Ihr jedem Fürsten etwas anderes erzählt, um sich bei ihm einzuschmeicheln?
dlga_lord_join_rebellion_suggest_4:lord_join_rebellion_suggest_5|Nun gut. {s51}{s52}{s53}{s54}{s55}
dlga_lord_join_rebellion_suggest_5:lord_join_rebellion_ask_for_order|{s43}
dlga_lord_join_rebellion_suggest_5:party_encounter_lord_hostile_attacker_2|{s43}
dlga_lord_join_rebellion_suggest_5:lord_talk|{s43}
dlga_lord_join_rebellion_ask_for_order:lord_give_order|In Ordnung. Also, wie lautet Euer Plan? Wie lauten Eure Pläne für mich?
dlga_lord_talk:lord_suggest_action_ask|CHEAT:Ich möchte to suggest a course of action.
dlga_lord_tell_objective:lord_pretalk|Was ich hier mache? Nach was sieht es denn aus, was ich hier mache! Ich bin hier gefangen!
dlga_lord_tell_objective:lord_pretalk.1|Momentan habe ich keine Soldaten unter meinem Kommando.
dlga_lord_tell_objective:lord_pretalk.2|Wir halten Rast bei {s1}.
dlga_lord_tell_objective:lord_pretalk.3|Wir reisen nach {s1}.
dlga_lord_tell_objective:lord_pretalk.4|Wir rekrutieren neue Soldaten aus {s1}.
dlga_lord_tell_objective:lord_pretalk.5|Wir halt im Gebiet um {s1} nach Feinden Ausschau.
dlga_lord_tell_objective:lord_pretalk.6|Wir legen das Dorf {s1} in Schutt und Asche.
dlga_lord_tell_objective:lord_pretalk.7|Wir ziehen uns nach {s1} zurück.
dlga_lord_tell_objective:lord_pretalk.8|Wir belagern {s1}.
dlga_lord_tell_objective:lord_pretalk.9|Wir kämpfen gegen {s1}.
dlga_lord_tell_objective:lord_pretalk.10|Wir begleiten {s1}.
dlga_lord_tell_objective:lord_pretalk.11|Wir überdenken unser nächstes Missionsziel.
dlga_lord_tell_objective:lord_pretalk.12|Ich weiß nicht: {reg1} {s1}
dlga_lord_talk:lord_ask_follow|Werdet Ihr mir folgen? Ich habe einen Plan.
dlga_lord_ask_follow:close_window|Ich genieße Eure Gesellschaft, {playername}, doch es gibt andere Dinge, um die ich mich kümmern muss. In einigen Tagen könnte ich mich Euch eventuell wieder anschließen.
dlga_lord_ask_follow:close_window.1|Das wäre wohl kaum angemessen, {playername}. Warum folgt Ihr nicht stattdessen mir?
dlga_lord_ask_follow:close_window.2|{s43}
dlga_lord_ask_follow:close_window.3|Reiter voran, {playername}! Lasst uns allen Feinden Tod und Verderben bringen.
dlga_lord_talk_preoffer:lord_talk_offer|Ja?
dlga_lord_talk_offer:knight_offer_join|Ich möchte einen Eurer Gefangenen auslösen.
dlga_lord_talk_offer:lord_pretalk|Schon gut.
dlga_knight_offer_join:hero_pretalk|Ich fürchte, {playername}, dass ich mich Euch jetzt nicht anschließen kann, denn ich muss mich um dringliche Angelegenheiten kümmern, die nicht aufgeschoben werden können.
dlga_knight_offer_join:hero_pretalk.1|Ihr vergesst Euren Rang, {mein Herr/meine Dame}. Von Euresgleichen nehme ich keine Befehle an.
dlga_knight_offer_join:knight_offer_join_2|Ich würde gerne an Eurer Seite kämpfen, mein Freund, doch es gibt da ein Problem ... ich stehe bei jemandem in der Schuld, die bald getilgt werden muss, und ich habe mein Ehrenwort gegeben, jede Münzen zurück zu zahlen. Falls Ihr nicht gerade {reg6} entbehren könnt, fürchte ich, dass ich meine Konzentration auf die Tilgung dieser Schuld richten muss.
dlga_knight_offer_join:close_window|Mich Euch anschließen? Das könnte Euch so passen ...
dlga_knight_offer_join:knight_offer_join_2.1|Gut, mein Freund, ich werde mich Euch gerne anschließen.
dlga_knight_offer_join_2:knight_offer_join_accept|Hier, nehmt so viele {reg6} Dinare wie Ihr benötigt. Ist ja nur Geld.
dlga_knight_offer_join_2:knight_offer_join_accept.1|Dann lasst uns zusammen weiter ziehen, mein Freund.
dlga_knight_offer_join_2:close_window|Das ist gut zu wissen. Ich werde darüber nachdenken.
dlga_knight_offer_join_2:hero_pretalk|Das ist gut zu wissen. Ich werde darüber nachdenken.
dlga_knight_offer_join_accept:knight_offer_join_accept_party|Ich habe erfahrene Männer in meiner Begleitung, die für Euch von Nutzen sein könnten. Welche Aufgaben habt Ihr für sie im Sinn?
dlga_knight_offer_join_accept:close_window|Ah, sicherlich, das könnte ein Spaß werden!
dlga_knight_offer_join_accept_party:knight_join_party_disband|Ihr könnt Eure Truppen auflösen. Ich habe für Eure Soldaten keine Verwendung.
dlga_knight_offer_join_accept_party:knight_join_party_join|Eure Männer können sich uns anschließen. Wir brauchen jeden kampffähigen Soldaten.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out|Führt Eure Soldaten aus der Stadt. Ich werde unterwegs zu Euch aufschließen.
dlga_knight_offer_join_accept_party:knight_join_party_lead_out.1|Fahrt damit fort, womit Ihr gerade beschäftigt seid. Ich werde später zu Euch aufschließen.
dlga_knight_join_party_disband:close_window|Ah . . . Sehr gut, {playername}. Ich hasse es zwar, gute Soldaten zu verlieren, doch die Entscheidung liegt bei Euch. Ich werde meine Truppen auflösen und mich Euch anschließen.
dlga_knight_join_party_join:close_window|Ausgezeichnet. Meine Kameraden und ich werden uns Euch anschließen.
dlga_knight_join_party_lead_out:close_window|Nun gut, abgemacht. Ich werde dieses Gebiet patrouillieren lassen. Sucht mich wieder auf, wenn Ihr weitere Befehle für mich habt.
dlga_lord_enter_service_reject:close_window|Was für ein Saufraß! Und ich wollte Euch einen Platz unter meinen Nobelmännern anbieten. Packt Euch hinfort, Ihr Bettler, bevor ich meine Beherrschung verliere!
dlga_lord_ask_enter_service:lord_give_oath_under_oath_already|Steht Ihr nicht bereits in Diensten von {s5}?
dlga_lord_give_oath_under_oath_already:lord_pretalk|Fürwahr, das trifft zu, {s65}. Verzeiht meine Ausschweifungen.
dlga_lord_ask_enter_service:lord_pretalk|Ich kann Treueschwüre nur von jenen akzeptieren, {playername}, die meines Erachtens nach auch zu ihrem Wort stehen.
dlga_lord_ask_enter_service:lord_give_oath_1|{playername}, Ihr seid als tapferer {Ritter/Krieger} und guter Anführer bekannt. Mit Freude werde ich Euer Schwert in meine Dienste aufnehmen und Euch in den Rang eines Vasalls erheben, wenn Ihr mir die Treue schwört.
dlga_lord_ask_enter_service:lord_pretalk.1|Noch habt Ihr Euch nicht als kompetenter Befehlshaber unter Beweis gestellt, {playername}. Bekämpft meine Feinde, und zeigt mir, dass Ihr würdigt seid, mein Vasall zu werden. Danach werden wir uns genauer über diese Angelegenheit unterhalten.
dlga_lord_give_oath_1:lord_give_oath_2|Ich bin bereit, {s65}.
dlga_lord_give_oath_1:lord_give_oath_give_up|Vergebt mir, {s65}, ich muss diese Angelegenheit zuerst genauer überdenken ...
dlga_lord_give_oath_give_up:close_window|Was plant Ihr, {playername}? Geht und denkt nach - und verschwendet meine Zeit nicht länger.
dlga_lord_give_oath_2:lord_give_oath_3|Gut. Dann wiederholt meine Worte: Ich schwöre Euch als rechtmäßigem Herrscher von {s41} die Treue.
dlga_lord_give_oath_3:lord_give_oath_4|Ich schwöre Euch als rechtmäßigem Herrscher von {s41} die Treue.
dlga_lord_give_oath_3:lord_give_oath_give_up|Entschuldigt, {reg65?Herrin:Herr}: Mich deucht, dass ich noch ein wenig hierüber nachdenken muss.
dlga_lord_give_oath_4:lord_give_oath_5|Ich werde Euer loyaler und ergebener {Soldat/Anhänger} sein, so lange ich auf dieser Erde weile ...
dlga_lord_give_oath_5:lord_give_oath_6|Ich werde Euer loyaler und ergebener {Soldat/Anhänger} sein, so lange ich auf dieser Erde weile ...
dlga_lord_give_oath_5:lord_give_oath_give_up|{reg65?Meine Herrin:Mein Herr}, dürfte ich noch um etwas Bedenkzeit hierüber bitten?
dlga_lord_give_oath_6:lord_give_oath_7|... und ich werde an Eurer Seite gegen Eure Feinde zu Felde ziehen, solltet Ihr mein Schwert benötigen.
dlga_lord_give_oath_7:lord_give_oath_8|... und ich werde an Eurer Seite gegen Eure Feinde zu Felde ziehen, solltet Ihr mein Schwert benötigen.
dlga_lord_give_oath_7:lord_give_oath_give_up|{reg65?Meine Herrin:Mein Herr}, bitte gebt mir mehr Zeit, um hierüber nachzudenken.
dlga_lord_give_oath_8:lord_give_oath_9|Letztlich werde Ich Euren rechtmäßigen Thronanspruch und den Eurer legitimen Erben aufrecht erhalten.
dlga_lord_give_oath_9:lord_give_oath_10|Letztlich werde Ich Euren rechtmäßigen Thronanspruch und den Eurer legitimen Erben aufrecht erhalten.
dlga_lord_give_oath_9:lord_give_oath_give_up|{reg65?Meine Herrin:Mein Herr}, ich benötige mehr Zeit, um dies abzuwägen.
dlga_lord_give_oath_10:lord_give_oath_go_on_2|Nun gut. Ihr habt mir Euren feierlichen Schwur geleistet, {playername}. Möget Ihr ihm stets mit angemessener Tapferkeit und Ergebenheit entsprechen.
dlga_lord_give_oath_go_on_2:lord_give_oath_go_on_3|Lasst alle wissen, dass Ihr von diesem Tage an ein auf mich eingeschworener {Mann/Gefolgsmann} und Vasall seid. Ich gewähre Euch meinen Schutz und gebe Euch das Recht, in meinem Namen zu kämpfen. Ich bürge dafür, dass ich Euch ohne das rechtmäßige Urteil des Hochadels oder ohne Verletzung der Gepflogenheiten des Landes nicht des Leben, der Freiheit oder Eurer Besitztümern berauben werde.{reg1? Fürderhin gebe ich Euch das Lehen {s1} mit allen Pachten und Einkünften.:}
dlga_lord_give_oath_go_on_3:lord_give_conclude|Ihr habt weise gehandelt, {playername}. Dient mir gut, und glaubt mir - Ihr werdet hoch hinauskommen.
dlga_lord_give_conclude:lord_give_conclude_2|Ich danke Euch, {reg39?meine Fürstin:mein Fürst}.
dlga_lord_give_conclude_2:close_window.1|Ich hege große Hoffnungen in Euch, {playername}. Ich weiß, dass Ihr Euch des Vertrauens, das ich in Euch gelegt habe, als würdig erweisen werdet.
dlga_lord_ask_enter_service:lord_enter_service_swear|He, ein kluger Schritt, {playername}. Durch loyalen Dienst unter meiner Fahnen kann man zu Reichtum und Macht kommen, und unsere Feinde ... Nun, unsere Feinde sind wie das Korn vor der Sense. Zum Eintritt in meine Dienste müsst Ihr Euch jedoch zuvor aller weltlichen Eide und Bande entsagen, und schwören, nur den {s5} zu dienen.
dlga_lord_enter_service_swear:lord_enter_service_swear_accepted|Das schwöre ich, {s65}.
dlga_lord_enter_service_swear:lord_enter_service_swear_denied|Ich benötige etwas Zeit, um hierüber nachzudenken.
dlga_lord_enter_service_swear_denied:close_window|Wollt Ihr mich auf den Arm nehmen? Ich habe keine Zeit für Spielchen, {playername}. Entscheidet Euch, und hört auf, meine Zeit zu verschwenden.
dlga_lord_enter_service_swear_accepted:lord_enter_service_swear_accepted_2|Dann heiße ich Euch mit Freude im Dienste meines Hauses willkommen. {playername}, von diesem Tage an seid Ihr ein Soldat von {s5}, mit allen Pflichten und Privilegien, die damit verbunden sind.
dlga_lord_enter_service_swear_accepted_2:close_window|Ich verlange von Euch, dass Ihr die Truppen unserer Feinde vernichtet, wo immer Ihr auf sie trefft. Fürderhin werde ich von Zeit zu Zeit spezielle Aufgaben für Euch haben, was auch für andere meiner Vasallen zutreffen kann. Dienst, kämpft und ehrt Euren Schwur. Wünschet Ihr im Range zu steigen, so wird dies der Weg zum Erfolg sein. Möge Gott uns lange Leben und viele Siege gönnen, die wir in meiner Halle betrinken können!
dlga_lord_ask_leave_service:lord_ask_leave_service_verify|Hmmm. Ist Euch Euer Treueschwur zur Last geworden, {playername}? Vom Treueschwur an mich entbunden zu werden ist ein ungewöhnliches Anliegen, aber angesichts Eurer lobenswerten Dienste werde ich Euch nicht im Wege stehen, wenn Ihr ihn beenden wollt. Seid Euch gewiss, dass wir Euch sehr vermissen würden.
dlga_lord_ask_leave_service:lord_ask_leave_service_verify.1|Vom Treueschwur entbinden? Hmmm, vielleicht wäre es damit zum Besten bestellt ... Trotzdem, {playername}, Ihr müsst Euch sicher sein, dass dies auch wirklich das ist, was Ihr wünscht. Dies ist kein einfacher Schritt.
dlga_lord_ask_leave_service_verify:lord_ask_leave_service_2|Es ist etwas, das ich tun muss, {s65}.
dlga_lord_ask_leave_service_verify:lord_ask_leave_service_giveup|Ihr habt Recht, {s65}. Mein Platz ist hier.
dlga_lord_ask_leave_service_giveup:lord_pretalk|Ich freue mich, das zu hören, {playername}. Ich hoffe, dass Ihr solch unwürdige Gedanken von nun an aus Eurem Denken verbannen werdet.
dlga_lord_ask_leave_service_2:lord_ask_leave_service_verify_again|Dann seid Ihr Euch also sicher?
dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_3|Jawohl, {s65}.
dlga_lord_ask_leave_service_verify_again:lord_ask_leave_service_giveup|Natürlich nicht, {s65}. Ich bin weiterhin Euer loyaler Vasall.
dlga_lord_ask_leave_service_3:lord_ask_leave_service_end|Wir Ihr wünscht. Hiermit erkläre ich Eure Schwüre für null und nichtig. Von nun an haltet Ihr keine Ländereien oder Titel in meinem Namen mehr und seid von Euren Verpflichtungen meinem Haus gegenüber entbunden. Ihr seid frei, {playername}.
dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2|Ich danke Euch, Herr. Es war mir eine Ehre, Euch zu dienen ...
dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2.1|Habt meinen Dank. Es fühlt sich gut an, wieder frei zu sein.
dlga_lord_ask_leave_service_end_2:close_window|Lebt wohl, {playername}, und möge das Glück mit Euch sein.
dlga_lord_active_mission_1:lord_lend_companion_end|Oh, wollt Ihr Euren Gefährten zurück? Ich verstehe ...
dlga_lord_active_mission_1:lord_pretalk|{playername}, könnt Ihr Euch noch etwas gedulden? Ich brauche Euren Gefährten noch eine Weile länger. Bitte kehrt später zurück, wenn sich die Lage entspannt hat.
dlga_lord_active_mission_1:lord_active_mission_2|Ja, habt Ihr Fortschritte damit erzielt?
dlga_lord_active_mission_2:lord_generic_mission_thank|In der Tat. Ich habe Euch {reg1} {s1} als Gefangene gebracht.
dlga_lord_active_mission_2:capture_enemy_hero_thank|Oh, tatsächlich. Ich habe einen Fürst aus {s13} für Euch gefangen.
dlga_capture_enemy_hero_thank:capture_enemy_hero_thank_2|Vielen Dank, mein Freund. Er wird sich sehr gut für einen Gefangenenaustausch eignen. Ihr habt gute Arbeit geleistet. Bitte akzeptiert diese {reg5} Dinar für Eure Hilfe.
dlga_capture_enemy_hero_thank_2:lord_pretalk|Gewiss, {s65}.
dlga_capture_enemy_hero_thank_2:lord_pretalk.1|Das war eine Kleinigkeit für mich.
dlga_capture_enemy_hero_thank_2:lord_pretalk.2|Gebt mir nächstes Mal doch eine größere Herausforderung.
dlga_lord_active_mission_2:lord_raise_troops_thank|In der Tat. Ich habe {reg1} {s13} ausgebildet. Ihr könnt sie haben.
dlga_lord_raise_troops_thank:lord_raise_troops_thank_2|{playername}, diese Soldaten könnten für meine Pläne das Zünglein an der Waage ausmachen. Ich bin überzeugt, dass Ihr sie gut ausgebildet habt. Seid Euch meines Dankes und Lobes gewiss.
dlga_lord_raise_troops_thank_2:lord_pretalk|Nun, die Kameraden stehen nun unter Eurem Befehl, Herr. Ich bin sicher, dass Ihr Euch gut um sie kümmern werdet.
dlga_lord_active_mission_2:lord_collect_taxes_success|Hier sind sämtliche Steuergelder von {s3}. Sie belaufen sich auf {reg19} Dinar.
dlga_lord_active_mission_2:lord_collect_taxes_half_success|Hier sind die Steuergelder von {s3}. Sie belaufen sich auf {reg19} Dinar.
dlga_lord_active_mission_2:lord_collect_taxes_fail|Leider brach eine Revolte los, als ich die Steuern eintrieb - ich konnte deshalb nur {reg19} Dinar sammeln.
dlga_lord_collect_taxes_success:lord_pretalk|Gut gemacht, {playername}, wirklich sehr gut! Ihr wart wahrlich die richtige Person für den Auftrag. Ich versprach Euch den Fünften der Steuern, was {reg21} Dinare ausmacht. Wenn Ihr mir {reg20} Dinare gebt, so möget Ihr die Differenz behalten. Ein gutes Ergebnis für alle Beteiligten, nicht wahr?
dlga_lord_collect_taxes_half_success:lord_pretalk|Was?! Ist das eine List von Euch, {playername}? Das ist weniger als die Hälfte der Steuersumme, die man mir schuldet! Mit Meuchelmord habt Ihr sie entkommen lassen ... und mit meinem Geld! Welch übles Possenspiel! Das Geld, das ich Euch versprochen hatte, könnt Ihr vergessen. Ich nehme die {reg20} Dinare, die Ihr eingetrieben habt - und Ihr könnt Euch glücklich schätzen, dass ich Euch ein paar Münzen gebe, damit Ihr Euer Gesicht wahren könnt.
dlga_lord_collect_taxes_fail:lord_pretalk|Beim allmächtigen Schöpfer, in welches Unglück habt Ihr uns da gestürzt, {playername}? Wenn wir nicht sofort einschreiten, könnte dies äußerst unangenehm werden! Ich hoffe sehr, dass Ihr für Euer Scheitern nicht auch noch entlohnt werden wollt! Seid so frei und gebt mir meine {reg19} Dinare. Damit wäre diese Angelegenheit dann beendet.
dlga_lord_active_mission_2:lord_hunt_down_fugitive_success|Ich habe {s4} in seinem Versteck in {s3} ausfindig gemacht und ihm seine rechtmäßige Strafe zukommen lassen.
dlga_lord_active_mission_2:lord_hunt_down_fugitive_fail|Ich fürchte, er ist mir entkommen.
dlga_lord_hunt_down_fugitive_success:lord_hunt_down_fugitive_success_2|Und ohne ihn wird es uns allen besser gehen! Ich danke Euch, {playername}, dass Ihr diesen Dorn aus meiner Seite entfernt habt. Es ist gut, zu wissen, dass Ihr Eure Aufträge mit angemessenem Taktgefühl erledigen könnt. Ich versprach Euch ein Kopfgeld – und ein Kopfgeld sollt Ihr auch bekommen, bis auf den letzten Heller!
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_accept|Gebt mir das Geld, {s65}. Ich danke Euch.
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_reject|Das ist Blutgeld, ich kann es nicht akzeptieren.
dlga_lord_hunt_down_fugitive_reward_accept:lord_pretalk|Natürlich, {playername}. Bitte sehr. Abermals: Ich danke Euch, dass Ihr diesen {s44} für mich beseitigt habt.
dlga_lord_hunt_down_fugitive_reward_reject:lord_pretalk|Wahrlich, für Euch ist Gerechtigkeit schon Belohnung genug, nicht wahr? Wie Ihr wünscht, {playername}, wie Ihr wünscht. Fürwahr, eine gar ehrenhafte Gesinnung. Dennoch: Ich danke Euch, dass Ihr diesen {s44} für mich beseitigt habt.
dlga_lord_hunt_down_fugitive_fail:lord_pretalk|Für die Gerechtigkeit ist es ein trauriger Tag, dass {s44} seiner Strafe ein weiteres Mal entkommen konnte. Ich hatte gedacht, dass Ihr dazu in der Lage sein würdet, {playername}. Offensichtlich hatte ich Unrecht.
dlga_lord_active_mission_2:lord_active_mission_3|Ich arbeite noch daran.
dlga_lord_active_mission_2:lord_mission_failed|Ich fürchte, dass ich diese Quest nicht erfüllen kann.
dlga_lord_active_mission_3:lord_pretalk|Gut. Vergesst nicht - ich zähle auf Euch.
dlga_lord_mission_failed:lord_pretalk|{s43}
dlga_lord_suggest_action_ask:lord_suggest_action|Was schlagt Ihr vor?
dlga_lord_suggest_action:lord_suggest_join_faction|Ich möchte Eurer Fraktion beitreten.
dlga_lord_suggest_join_faction:lord_give_oath_5|Das ist akzeptabel.
dlga_lord_suggest_action:lord_suggest_learn_party_id|Cheat:I möchte to know your leaded party ID.
dlga_lord_suggest_learn_party_id:lord_pretalk|Es ist {reg0}.
dlga_lord_suggest_action:lord_suggest_become_marshall|Ich möchte der Feldherr Eures Königreichs werden.
dlga_lord_suggest_become_marshall:lord_pretalk|Das ist akzeptabel.
