str_no_string|NO STRING!
str_npc9_backstory_b|Ich war der älteste Sohn meines Vaters, und sein Erbe. Aber meine Mutter starb, und mein Vater nahm sich eine neue Frau. Seine neue Gattin war der Ansicht, dass ihr Sohn das Erbe antreten sollte. Sie konnte nicht offen gegen mich agieren, aber eines Tages gab ich eine Schüssel Talg, die man für mich stehen gelassen hatte, einem meiner Hunde, und er fiel tot um. Ich klagte meine Stiefmutter an, aber mein Vater, verhext von ihren dunklen Künsten, wollte mir nicht glauben und befahl mir, ihm aus den Augen zu gehen.
str_npc10_backstory_b|Ein Sergeant war ich, in der Garnison {s19} bei {s20}. Zwanzig Jahre stand ich Wache für die Stadt, durch viel Mühsal und noch mehr Schlägereien, bis sie ein rotznäsiges, flaumbärtiges Prinzchen, kaum aus der Wiege, als Kommandant der Garnison bestallten. Er kam zu mir, als ich auf dem Turm mit meiner ungespannten Armbrust Wache schob -- weil es regnete, müsst ihr verstehen ... konnte ja nicht riskieren, dass sich die Sehne löst ... Aber Prinz Rotznäschen sagte mir, dass ein ungespannter Bogen eine Pflichtverletzung sei. Sagte, er würde mich auspeitschen lassen. Und irgend etwas in mir rastete aus. Und ich verließ meinen Posten.
str_npc11_backstory_b|30 Jahre lange folgte ich den Armeen dieses Landes, verkaufte ihnen Viktualien und Trank, schauten ihnen beim Würfeln zu, half ihnen, Mädels zu finden, und am Ende war kaum ein roter Heller in meinem Geldbeutel übrig.
str_npc12_backstory_b|Ich bin ein ausgebildeter Naturphilosoph, aber durch die Eifersucht der sturköpfigen Doktores meiner Universität dazu verdammt, mein Leben als wandernder Wundarzt zu fristen. Ein Kaufmann dieser Stadt bat mich, seinen Sohn zu heilen, der seit einem Fall von seinem Balkon im Koma lag. Ich bohrte erfolgreich eine Öffnung in den Schädel des Patienten, um die Schädelschwellung zu lindern, aber die Familie ignorierte meinen Rat, das nachfolgende Fieber mit einer Tinktur aus Weidenrinde zu behandeln, und der Junge verschied. Anstatt mich für meine Anstrengungen zu entlohnen, klagte der Vater mich der Hexerei an -- mich, einen Naturphilosophen! Undank ist der Lohn dieser ignoranten Welt .
str_npc13_backstory_b|Ich bin ein Krieger von Beruf. Aber vielleicht wisst Ihr auch um mein Können als Poet, das auch die kühlste Maid noch schwach werden lässt. Oder um mein Können in den Künsten des Schlafzimmers, die ich zugegebenerdings nicht allzu ärmlich beherrsche. Ich bekenne mich zu einer gewissen Zuneigung für Calradia, und habe in den letzten paar Jahren seine Städte, Burgen und Dörfer besucht, wo ich meine Talente förderlich anbringen konnte.
str_npc14_backstory_b|Ich bin der zweite Sohn des Grafen von Geroia, von dem Ihr zweifelsohne gehört habt. Da ich kein Erbe mein Eigen nennen kann, kam ich hierher, um mein Glück in Calradia zu suchen, wo ich Männer in der Kunst des Kampfes unterrichte. Leider hat der Fürst hier in {s20} keinen Sinn für die disziplinarischen Methoden, dies es braucht, um gemeines Pack zu Soldaten zu machen. Ich sagte ihm, es sei weiser, sie erst auszupeitschen und später dann zu begraben. Aber er wollte nichts davon hören und beschied mir, meine Dienste jemand anderem anzubieten.
str_npc15_backstory_b|Der Burgvogt {s19} in {s20} wollte den Mauern einen neuen Turm hinzufügen. Leider ging ihm bei Bauhalbzeit das Geld aus, bevor ich die Stützen fertig stellen konnte. Ich sagte ihm, er würde zusammenbrechen, und das geschah dann auch. Leider stand er zu dem Zeitpunkt darauf. Der neue Burgvogt hatte keine Lust, die Schulden seines Vorgängers zu begleichen und ließ mich wissen, dass ich einer Mordklage ins Auge sehen würde, wenn ich die Zahlung weiter verfolgte.
str_npc16_backstory_b|Ich wuchs in Burg Malayurg als leibeigener Diener auf, wo ich neben meiner Mutter in den Küchen arbeitete. Ich vertrieb mir die Zeit damit, Mäuse durch die Vorratskammern und Spülküchen zu jagen. So gut war ich, dass ich die Burgkatzen arbeitslos machte, und irgendwann erkannte der Fürst, dass ich vielleicht auch größere Beute jagen könnte, bei gewissen Aufträgen, die besser unausgesprochen bleiben. Selbstverständlich fand ich eine ganze Reihe von Gelegenheiten, mir hübsche Dingelchen aus dem früheren Besitz der Feinde meines Fürsten anzueignen. So konnte ich mich aus der Leibeigenschaft freikaufen und ein Leben als Freiberufler beginnen. Mein letzter Auftrag war {s19} in {s20}.
str_npc1_backstory_c|Aber wäre ich Mitglied einer größeren Gruppe, die für mich bürgte, ließen sie mich vielleicht durch. Ich wäre Euch sehr zu Dank verpflichtet.
str_npc2_backstory_c|Und nun bin ich hier, ohne Geld und Heimat.
str_npc3_backstory_c|Ich werde heiraten, wen ich will und wann ich will. Und überhaupt - im Gegensatz zur Meinung meines Vaters kann ich bestens auf mich selbst aufpassen. Ich dachte mir, mich vielleicht einem Zigeunertrupp anzuschließen, oder gar einer Truppe Landsknechte!
str_npc4_backstory_c|Aber ich will um jeden Preis weitere Schwierigkeiten vermeiden; wenn Ihr also von einer Truppe kämpfender Männer wisst, die mich rekrutieren würde, wäre ich Euch sehr dankbar.
str_npc5_backstory_c|In der Zwischenzeit sind alle Gelegenheiten, meinen Lebensunterhalt mit meinem Schwert zu verdienen, sehr willkommen.
str_npc6_backstory_c|Glaubt Ihr, es gibt noch Hoffnung für einen Mann wie mich? Kann ich noch den Weg der Rechtschaffenheit finden, oder bin ich verdammt, den Dämonen in meinem Innern zu folgen?
str_npc7_backstory_c|Aber ich halte mich nicht für unglücklich, Fremder, nicht mehr als jede andere Frau in Calradia, diesem stinkenden Arsch der Welt, diesem Misthaufen der Nationen, bevölkert von Affen und Hyänen.
str_npc8_backstory_c|Wenn ich genug Gold habe, eine Armee auszuheben, werde ich zurückkehren und mir nehmen, was mein ist.
str_npc9_backstory_c|Ich hoffe, mein Schwert einem würdigen Hauptmann anbieten zu können, da es der einzige ehrenvolle Beruf für einen Mann meines Standes ist - abgesehen von Landbesitzer - doch bis dahin bin ich dazu verurteilt, mit Dieben, Vagabunden, Kaufleuten und dem ganzen anderen Gesindel der Landstraße zu leben.
str_npc10_backstory_c|Nun bin ich hier, betrinke mich, und zum Teufel mit morgen.
str_npc11_backstory_c|Marketenderin der Armeen ist wahrlich kein Leben. Man verdient ein bisschen hier und da, wenn die Soldaten ihr Geld ausgeben, und dann kommt eine Niederlage, und man muss ganz von Neuem anfangen und sich wieder für einen neuen Wagen und neue Ochsen in Schulden werfen. Also beschloss ich, aus dem Geschäft auszusteigen, aber das Armeeleben ist alles, was ich kenne.
str_npc12_backstory_c|Der Fürst dieser Burg zögert, mich zu verhaften, aber ich will wirklich weiterziehen.
str_npc13_backstory_c|Das erinnert mich -- irgendwo da draußen in der Stadt ist ein ziemlich erboster Gatte. Ihr würdet mir wohl nicht helfen, die Stadt zu verlassen?
str_npc14_backstory_c|Wenn Ihr also einen Kommandanten kennt, der glaubt, dass sein Lebenszweck eher das Gewinnen von Schlachten anstatt die Verweichlichung seiner Soldaten ist, wäre ich sehr erfreut, wenn Ihr mich in seine Richtung weisen könntet.
str_npc15_backstory_c|Ich war ja auch ein Narr, den Kontrakt ohne Vorschuss anzunehmen, aber jetzt bin ich nun einmal in dieser verzwickten Lage: die Landstraßen sind voller Banditen und ich habe kein Geld, eine Eskorte zu zahlen. Ich wäre also sehr dankbar, wenn ein gut bewaffneter Trupp, der in den nächsten paar Tagen die Stadt verlässt, mich unter seine Fittiche nehmen könnte.
str_npc16_backstory_c|Leider hatte die Gattin meines letzten Arbeitgebers ein wunderschönes Amulett, von der Sorte, der ich einfach nicht widerstehen kann. Sie weiß noch nicht, dass es weg ist, aber das kann sich bald ändern. Also, sagt, sucht Ihr nach Hilfskräften?
str_npc1_backstory_later|Mal hier, mal da, wisst Ihr, immer auf der Hut vor Schwierigkeiten. Aber ich brauche dringend Arbeit.
str_npc2_backstory_later|Ich habe meine Stiefel verkauft und ein paar Dinare mit Kleinkrämerei von Stadt zu Stadt verdient, aber es ist ein hartes Brot.
str_npc3_backstory_later|Ich habe mich als Köchin für einige durchziehende Karawanen verdingt, und das hat mich wenigstens ernährt. Aber die Landstraße zieht raues Volk an, und ich bin es müde, Wachen und andere Leute abzuwehren, die Unsittliches im Schilde führen. Ich dachte, dass die Männer mich in Ruhe lassen würden, wenn ich Arbeit als Krieger finden könnte.
str_npc4_backstory_later|Ich ging zurück in die Heimat meiner Vorfahren, um meine Ländereien zu inspizieren. Aber wir hatten eine Heuschreckenplage und schwere Regenfälle und andere Dinge, also bin ich wieder hier, auf der Suche nach Arbeit.
str_npc5_backstory_later|Ich bin durch dieses kriegszermürbte Land gewandert, auf der Suche nach einem Anführer, der des Folgens wert ist.
str_npc6_backstory_later|Ich bin durch ganz Calradia gewandert, habe aber immer noch keine Erlösung gefunden.
str_npc7_backstory_later|Ich bin herumgezogen auf der Suche nach Arbeit als Fährtenleser, aber es war nicht leicht. Calradier sind größtenteils schlecht erzogen, verlaust und ignorant, und es ist nicht leicht, mit solchem Volk zu arbeiten.
str_npc8_backstory_later|Ich suche immer noch einen Anführer, in dessen Schildwall ich kämpfen würde. Aber ich brauche Gold, und zwar schnell, und die Fürsten dieses Landes ziehen es oft vor, hinter den Mauern ihrer Festungen zu bleiben, anstatt dorthin zu marschieren, wo Ruhm und Reichtum locken.
str_npc9_backstory_later|Ich habe mein Schwert ein paar Fürsten in diesem Landstrich angeboten. Aber oft genug ziehen sie mich bloß heran, um Botschaften zu überbringen, oder Bauern auszubilden, oder irgendwelche anderen Aufträge auszuführen, die unter meinem Stand sind.
str_npc10_backstory_later|Ich weiß nicht, ob ich Euch das schon erzählt habe, aber ich bin von meiner Einheit geflohen, nachdem ich einen jungen Adligen geschlagen hatte, der mich grundlos auspeitschen lassen wollte. Seit dem Tag halte ich mich bedeckt. Glücklicherweise hatte ich die Schläue, den Geldbeutel meines Hauptmanns zu leeren, bevor ich mich davonmachte, aber nun geht das Geld zur Neige.
str_npc11_backstory_later|Ich habe mich hier und dort herumgetrieben. Aber selten stellt ein Hauptmann einen alten Sack wie mich als Kämpfer ein, selbst wenn ich die meisten der Jungs in seiner Einheit mit der linken Hand nass machen kann.
str_npc12_backstory_later|Ich habe mich hier und dort herumgetrieben, die Kranken gepflegt und jede Belohnung angenommen. Aber das Volk in diesem Lande ist ignorant und hat wenig Respekt für meine Kunst. Die wenigen Dinare, die ich verdiene, reichen gerade aus, um meine Medizinvorräte wieder aufzufüllen. Ich sollte dankbar für eine Chance sein, andere Arbeit zu finden.
str_npc13_backstory_later|Ich habe die Städte Calradias durchwandert und einen ganzen Strang liebeskranker Frauen und gehörnter Ehemänner in meinem Fahrwasser hinterlassen. Aber solche einfachen Herausforderungen öden mich an, und ich möchte mich mehr kriegerischen Unterfangen zuwenden.
str_npc14_backstory_later|Ich bin von Hof zu Hof gezogen, habe aber noch keinen Fürsten gefunden, der mir zusagt.
str_npc15_backstory_later|Ich bin von Burg zu Burg gezogen, um zu sehen, ob Mauern oder Türme der Reparatur bedürfen. Aber entweder ist der Fürst nicht anwesend, oder er hat anderes zu tun, oder ich treffe seine Gläubiger auf der Straße, die mich um Almosen anbetteln, und dann erkenne ich, dass dies ein Auftrag ist, den ich besser nicht annehmen sollte. Wenn Ihr also irgend etwas hört. lasst es mich wissen.
str_npc16_backstory_later|Ich nehmen den gelegentlichen Auftrag an. Aber es geht nichts über ein regelmäßiges Einkommen und reguläre Leichen zum Plündern.
str_npc1_backstory_response_1|Vielleicht. Aber woher soll ich wissen, dass es kein 'Missverständnis' wegen einem meiner Pferde gibt?
str_npc2_backstory_response_1|Nun, vielleicht könnte ich Euch Arbeit anbieten. Könnt Ihr kämpfen?
str_npc3_backstory_response_1|Nun, ich befehlige zufälligerweise eine Kompanie Landsknechte.
str_npc4_backstory_response_1|Ich befehlige solch eine Kompanie und könnte ein zusätzliches Schwert einstellen.
str_npc5_backstory_response_1|Ausgezeichnet! Ich könnte Euch vielleicht etwas anbieten.
str_npc6_backstory_response_1|Hmm. Vielleicht würdet Ihr in Betracht ziehen, Euch uns anzuschließen. Unrecht rächen, Unterdrücker bekämpfen, Eure Seele befreien, solcherlei Dinge eben.
str_npc7_backstory_response_1|Hmm ... Seid Ihr zufällig auf der Suche nach Arbeit?
str_npc8_backstory_response_1|Ich kann Euch Gelegenheiten bieten, Geld mit solidem, ehrlichem Kämpfen und Plündern zu verdienen.
str_npc9_backstory_response_1|Vielleicht würdet Ihr Euch gerne für eine Weile meiner Kompanie anschließen?
str_npc10_backstory_response_1|Solltet Ihr nach Arbeit suchen - ich kann erfahrene Kämpfer gebrauchen.
str_npc11_backstory_response_1|Was wollt Ihr nun tun?
str_npc12_backstory_response_1|Nun, Ihr könnt mit uns reisen, aber Ihr müsst in der Lage sein, in unserer Schlachtreihe zu kämpfen.
str_npc13_backstory_response_1|Ich könnte ein zusätzliches Schwert in meiner Kompanie gebrauchen.
str_npc14_backstory_response_1|Ich könnte Euch in meiner Kompanie gebrauchen.
str_npc15_backstory_response_1|Wo müsst Ihr jetzt hin?
str_npc16_backstory_response_1|Vielleicht. Was könnt Ihr?
str_npc1_backstory_response_2|Ich werde nichts dergleichen tun. Ich habe Besseres zu tun, als Diebe vor dem Gesetz zu schützen.
str_npc2_backstory_response_2|Pech, mein Freund. Einen schönen Tag noch.
str_npc3_backstory_response_2|Geh zurück zu deiner Familie, Mädel. Vätern muss man immer gehorchen.
str_npc4_backstory_response_2|Tut mir leid, nie von gehört.
str_npc5_backstory_response_2|Seufz ... So lange wie Ihr Hügelklans Euch Stamm gegen Stamm bekämpft, werdet ihr ein albernes, schwaches Volk bleiben.
str_npc6_backstory_response_2|Packt Euch, verfluchter Brudermörder!
str_npc7_backstory_response_2|Eigentlich mag ich den Ort recht gern. Einen schönen Tag noch.
str_npc8_backstory_response_2|Euer Schwager hatte recht -- Frauen sollten nicht herrschen. Geht zurück nach Hause und kümmert Euch um den Herd.
str_npc9_backstory_response_2|Einige meiner besten Freunde sind Gesindel. Einen guten Tag, mein Herr.
str_npc10_backstory_response_2|Zweifelsohne werden Ihr eines Tages mit dem Hals in einer Schlinge aufwachen, und Ihr habt es verdient. Guten Tag.
str_npc11_backstory_response_2|Sehr interessant, meine Dame, aber ich habe zu tun.
str_npc12_backstory_response_2|Es tut mir Leid. Ich kann keine neuen Leute einstellen.
str_npc13_backstory_response_2|Nein, tut mir Leid. Ich kann für Euch nichts tun.
str_npc14_backstory_response_2|Ich werde Euch wissen lassen, wenn mir etwas zu Ohren kommt. Guten Tag.
str_npc15_backstory_response_2|Es tut mir Leid. Ich habe alle Männer, die ich im Moment brauche.
str_npc16_backstory_response_2|Es tut mir Leid, Mädel. Ihr klingt, als seid Ihr in Schwierigkeiten.
str_npc1_signup|{Mein Herr/meine Dame} -- es verletzt mich, dass Ihr so etwas auch nur denken würdet! Ich wäre Euch sehr zu Dank verpflichtet, und Ihr werdet sehen, dass ich meine Dankbarkeit auch zeige.
str_npc2_signup|Nun, ich will zugeben, dass ich kein Krieger von Beruf bin.
str_npc3_signup|Ja? Nun, ich kann nicht wählerisch sein! Ich wäre erfreut, mich Euch anschließen zu dürfen.
str_npc4_signup|Gut! Ich freue mich darauf, Eure Feinde zu vernichten.
str_npc5_signup|Nun, das ist ein höchst großzügiges Angebot.
str_npc6_signup|Ja! Göttliche Vorsehung muss Euch gesandt haben! Führt mich -- führt mich aus der Dunkelheit!
str_npc7_signup|Vielleicht. Ich könnte das Geld in der Tat gebrauchen.
str_npc8_signup|Könnt Ihr? Ich werde Euer Angebot annehmen.
str_npc9_signup|Ich würde das sehr begrüßen, mein Herr
str_npc10_signup|Tatsächlich? Nun, das ist um Einiges besser, als wegen Fahnenflucht von einem Strick zu baumeln.
str_npc11_signup|Na, dann werd ich doch auch ein Soldat! Werd mir ein bisschen Plündergut zukommen lassen, zur Aufbesserung des Ruhestands. Zwei Jungs habe ich geboren, beides Soldatenkinder, und beide wurden selber Soldaten. Dem einen wurde der Kopf von der Keule eines Khergit zerschmettert, der andere starb an den Pocken, aber wenigstens starben sie nicht hungrig.
str_npc12_signup|Wie ich Euch schon sagte, bin ich ein Wundarzt, nicht irgend ein seidengewandeter Universitätsdoktor, der nie jemanden angefasst hat. Ich kann mir die Hände schmutzig machen.
str_npc13_signup|Tatsächlich? Es wäre zu Eurem Vorteil, mich einzustellen.
str_npc14_signup|Ich wäre erfreut, mit Euch reiten zu dürfen, wenigstens für eine Weile, gegen Lohn und einen Teil aller Beute.
str_npc15_signup|Geroia, letztendlich, aber ich würde die Gelegenheit willkommen heißen, erst einmal eine Handvoll Dinare in meine Tasche zu bringen, damit ich nicht mit leeren Händen heimkehre. Wenn Ihr mir also Kost und einen Teil der Beute versprecht, wäre ich froh, für eine Weile an Eurer Seite kämpfen zu dürfen.
str_npc16_signup|Nun, {mein Herr/meine Dame}, ich will es Euch erzählen. Zwar kann ich weder lesen noch schreiben, aber ich kenne den schnellsten Weg ins Herz eines Mannes - zwischen seiner vierten und fünften Rippe, wenn Ihr versteht, was ich meine.
str_npc1_signup_2|Ich bin zu meiner Zeit so manche Meile raues Gelände durchritten, oft in beträchtlicher Eile. Ich bin ein guter Fährtenleser und habe ein Auge fürs Terrain. Also, was sagt Ihr?
str_npc2_signup_2|Ich lerne schnell. Ich kann reiten und weiß so Einiges über Handel, Preise und so weiter.
str_npc3_signup_2|Ich denke, Ihr werdet mich als einen höchst wertvollen Zuwachs Eurer Reihen ansehen. Ich kenne mich in den Klassikern der Literatur wohl aus und kann allerlei epische Gedichte meines Volks rezitieren. Ich spiele die Laute und bin ein geschickter Verwalter von Haushaltsbediensteten.
str_npc4_signup_2|Allerdings, als Ehrenmann und Baron erwarte ich eine Befehlsposition - ich werde mich nicht wie ein gewöhnlicher Soldat behandeln lassen.
str_npc5_signup_2|Ich werde Euch nicht verraten -- so lange, freilich, wie Ihr Eurer Pflicht mir gegenüber nachkommt und mich nährt, entlohnt und meinen Kadaver nicht in ein Gefecht zerrt, das keine Chance auf Sieg bietet. Gebt mir bitte etwas Salz -- es ist Sitte bei unserem Volkes, Salz von unseren Hauptmännern anzunehmen, als Zeichen ihrer Besorgnis um unser Wohlergehen.
str_npc6_signup_2|Ich bin wohlversiert in den Künsten des Krieges -- aber mit Verlaub, mein Herr, ich wünsche meine Fertigkeiten zur Verteidigung der Unschuldigen und Schutzlosen einzusetzen, nicht, um als gewöhnlicher Brigant noch mehr Elend anzurichten, als ich es schon getan habe.
str_npc7_signup_2|Aber lasset Eure Gefolgschaft wissen, dass ich keine Lümmel und Grobiane dulde. Jeder, der sich in meiner Gegenwart sittenlos benimmt, wird schnell einen Pfeil in seinem Rachen finden.
str_npc8_signup_2|Es wird mir eine Freude sein, in Eurem Schildwall zu kämpfen. Aber ich warne Euch -- wenn Ihr mir antragt, Feuerholz zu sammeln oder zu kochen, werdet Ihr die Konsequenzen nicht schätzen.
str_npc9_signup_2|Ich bin ein Ehrenmann und ziehe es vor, mit Schwert und Lanze zu kämpfen. Ich sehe, dass Ihr von niedrigerer Geburt als ich bin, doch es beschämt mich nicht, unter einem erfahrenen Hauptmann zu dienen -- freilich nur unter der Voraussetzung, dass Eure Gefolgschaft mit nicht zu nahe rückt. Ich nehme an, dass das kein Problem sein wird?
str_npc10_signup_2|Ihr werdet es nicht reuen, mich aufgenommen zu haben, {Bruder/Schwester}. Ich bin eins mit der Armbrust -- eine wunderschöne Waffe, die direkt durch die Rüstung eines Adligen dringt und sein blaues Blut auf den Boden fließen lässt. Und ich habe mehr grüne Rekruten ausgebildet als Ihr heiße Mahlzeiten gegessen, wenn ich das so sagen darf. Ich lecke nicht den Speichel der Hochwohlgeborenen.
str_npc11_signup_2|Ich weiß eine Klinge zu schwingen, eine Wunde zu stillen, und eine marschierende Armee zu ernähren. Es wäre ein törichter Hauptmann, der die Gelegenheit fahren ließe, einen erfahrenen Feldzügler wie mich einzustellen! Sagt, {Junge/Mädel}, befehligt Ihr nicht eine Kriegstruppe?
str_npc12_signup_2|Ich habe jede Art von Wunde behandelt, die Menschen anderen Menschen zufügen können. Bevor ich Wundarzt war, war ich ein Student, Ihr könnt also sicher sein, dass ich Wunden zugefügt als auch geheilt habe.
str_npc13_signup_2|Schwert, Lanze, Bogen -- meine Fertigkeit in der Waffenkunst ist das Thema epischer Verse. Zusammen werden wir Taten vollbringen, die bei Festen und an Lagerfeuern vorgetragen werden, in schmutzigen Schänken und in den Hallen von Königen, viele zukünftige Generationen lang.
str_npc14_signup_2|Ich bin ein geschickter Schwertkämpfer, und ich kann auch Eure Männer im Kampf unterweisen. Aber ich warne Euch - ich kämpfe nicht für einen Anführer, der lasche Disziplin mit seinen Männern pflegt, denn auf Dauer respektieren sie die sanfte Hand nicht.
str_npc15_signup_2|Das Belagerungswerk ist meine Spezialität, obwohl ich denke, dass ich mich auch im offenen Gefecht redlich schlage, wenn es sein muss.
str_npc16_signup_2|Ich kann Messer werfen, nicht nur mit ihnen zustechen, und ich bin schlüpfrig wie Quecksilber. Ich garantiere Euch, Ihr werdet mich im Kampf nützlich finden.
str_npc1_signup_response_1|Gut. Ihr könnt uns nützlich sein.
str_npc2_signup_response_1|Das reicht.
str_npc3_signup_response_1|Äh, das ist ein Anfang. Wir können Euch den Rest beibringen.
str_npc4_signup_response_1|Nun gut. Ich wäre erfreut, Euch bei uns zu haben, äh, 'Baron.'
str_npc5_signup_response_1|Selbstverständlich. Hier, nehmt etwas Salz.
str_npc6_signup_response_1|Stets zu Diensten! Packt Eure Sachen zusammen, und wir machen uns auf den Weg.
str_npc7_signup_response_1|Ich werde Euch einstellen. Versucht, nicht gleich am ersten Tag jemanden zu erschießen.
str_npc8_signup_response_1|Keine Bange, Madam. Ihr seid die Witwe und die Tochter eines Lehnsmanns, und Ihr werdet als solche behandelt.
str_npc9_signup_response_1|Nun, das sollte nicht sein. Ich werde mit ihnen sprechen.
str_npc10_signup_response_1|Guter Mann. Wir werden Euch mit dem Respekt behandeln, der Euch zusteht.
str_npc11_signup_response_1|Das klingt, als könntet Ihr mir nützlich werden. Ihr seid angeheuert.
str_npc12_signup_response_1|Also willkommen in unserer Kompanie, Doktor
str_npc13_signup_response_1|Gut. Macht Euch bereit, und wir reiten los.
str_npc14_signup_response_1|Gut. Ich würde sehr gerne jemanden wie Euch anheuern.
str_npc15_signup_response_1|Das gefällt mir. Ich würde Euch gerne anheuern.
str_npc16_signup_response_1|Das klingt, als seid Ihr talentiert. Ich werde Euch einstellen.
str_npc1_signup_response_2|Ich gehe lieber kein Risiko ein. Guten Tag, mein Herr.
str_npc2_signup_response_2|Ich fürchte, ich kann nur Männer mit Erfahrung gebrauchen. Einen schönen Tag noch.
str_npc3_signup_response_2|Eigentlich brauchen wir jemanden mit anderen Fähigkeiten.
str_npc4_signup_response_2|Eigentlich heuern wir nie Banditen mit erfundenen Stammbäumen an. Guten Tag, mein Herr.
str_npc5_signup_response_2|Eigentlich halte ich mich doch lieber in zivilisierterer Gesellschaft auf.
str_npc6_signup_response_2|Wenn ich's mir recht überlege, ist eine Landsknechtkompanie jetzt vielleicht doch nicht das Richtige für Euch.
str_npc7_signup_response_2|Bei näherem Hinsehen nimmt es sich doch eher aus, als würdet Ihr uns nur Ärger einbringen. Einen schönen Tag noch.
str_npc8_signup_response_2|Ah. Nun, wenn Ihr meine Befehle nicht befolgen wollt, solltet Ihr Euer Heil doch besser andernorts suchen.
str_npc9_signup_response_2|Das ist eine Fehleinschätzung, mein Herr. In meiner Kompanie respektieren wir Mut und Geschick mehr als adliges Geblüt.
str_npc10_signup_response_2|Eigentlich schätzen wir Disziplin sehr in unserer Kompanie. Einen schönen Tag noch.
str_npc11_signup_response_2|Es tut mir Leid, meine Dame. Wir haben schon so viele Leute in unserer Kompanie, wie wir aufnehmen können.
str_npc12_signup_response_2|Eine Schlacht ist nicht dasselbe wie eine Schänkenschlägerei. Vielleicht solltet Ihr anderswo nach Arbeit suchen.
str_npc13_signup_response_2|Eigentlich ist ein zu sehr auf Ruhm erpichter Kämpfer gefährlich für eine Kompanie.
str_npc14_signup_response_2|Eigentlich möchte ich keine Meuterei in meinen Reihen instigieren. Guten Tag, mein Herr.
str_npc15_signup_response_2|Eigentlich brauche ich eine andere Sorte von Expertise. Ich bitte um Verzeihung.
str_npc16_signup_response_2|Um ehrlich zu sein, ziehe ich jemanden vor, der etwas weniger zu Diebstahl tendiert.
str_npc1_payment|Ich werde Euch sehr nützlich sein, {mein Herr/meine Dame}, darauf könnt Ihr Euer Ross verwetten. Nur noch eine Sache, bevor wir losziehen; würdet Ihr mir wohl {reg3} Dinare leihen? Ich schäme mich, es zu sagen, aber ich habe hier Schulden. Ich habe die letzten paar Wochen in dieser Schänke logiert, und der Schankwirt glaubt nicht länger, dass ich mit Gold beladen bin. Wisst Ihr, es könnte unangenehm ausgehen, wenn sie mich mit Euch von dannen ziehen sehen, bevor ich meine Rechnung beglichen habe.
str_npc2_payment|.
str_npc3_payment|.
str_npc4_payment|Ausgezeichnet. Bevor wir losziehen; würdet Ihr mir wohl {reg3} Dinare leihen? Ich musste ein Familienerbstück bei einem Pfandhaus hier in {s20} verpfänden, und ich würde es gerne auslösen, bevor wir weiterziehen.
str_npc5_payment|Vielen Dank. Nun, um unserer Abkommen zu besiegeln, möchte ich Euch um {reg3} Dinare bitten. Es ist ein Ratschlag, den mein Vater mir gab. Er sagte mir 'Baheshtur', kämpfe nie für einen Barbaren, bevor er Euch euren fairen Lohn ausgezahlt hat'.
str_npc6_payment|.
str_npc7_payment|Wohlan, ich komme mit Euch. Aber ich will erst eine Zahlung von {reg3} Dinaren. Ihr erwartet doch wohl nicht, dass ich umsonst arbeite, oder?
str_npc8_payment|Dann bekämpfe ich Eure Feinde für Euch. Aber zuerst will ich ein Handgeld von {reg3} Dinaren. Wenn Ihr ein würdiger Hauptmann seid, der seine Kompanie zu Reichtum und Beute führen kann, solltet Ihr mit der Zahlung keine Schwierigkeiten haben. Ich kann es mir nicht leisten, im Gefolge eines Almosenempfängers umherzuziehen.
str_npc9_payment|Das ist sehr freundlich von Euch. Und bevor ich mitmache, kann ich {reg3} Dinare von Euch leihen, damit ich mir würdige Kleidung kaufen kann, die einem Ehrenmann von adliger Geburt wie mir zusteht? Mein Mantel ist dank einer kürzlichen Pechsträhne abgewetzt, und ich kann nicht zulassen, dass gewöhnliche Soldaten mich als einen der ihren ansehen.
str_npc10_payment|Das sind gute Neuigkeiten. Aber ich bitte Euch um einen letzten Gefallen, Hauptmann. Ich habe ein Frauenzimmer hier in {s20}, eine Schänkenhure, und sie sagt, sie trüge mein Kind unter ihrem Herzen. Ich will ihr etwas Geld geben, bevor ich gehe ... für das Kind, wisst Ihr. Hättet Ihr wohl {reg3} Dinare für mich übrig?
str_npc11_payment|He, dank Euch, Hauptmann. Aber bevor ich mich Euch anschließe, möchte ich um eine Zahlung von {reg3} Dinaren bitten. Ich weiß, dass Soldaten in Kriegstruppen oft wochenlang keinen Sold sehen. Ich bin schlau genug, nirgendwo zu unterschreiben, ohne mich abgesichert zu haben.
str_npc12_payment|.
str_npc13_payment|Bevor ich unterschreibe, ist da noch die kleine Angelegenheit gewisser Ausgaben, die sich während meines Aufenthaltes hier angesammelt haben -- {reg3} Dinare. Könnt Ihr das wohl für mich bezahlen, als Freundschaftsgeste?
str_npc14_payment|Ah, und noch eine letzte Sache: Ich möchte Euch um ein Voraushandgeld von {reg3} Dinaren bitten, bevor ich mich unter Euren Befehl begebe. Ich mache es mir zum Prinzip, nie in jemandes Dienst zu treten, ohne die Zahlung erhalten zu haben, die mir zusteht.
str_npc15_payment|Gut. Übrigens, als geschickter Baumeister würde ich eine Zahlung für meine Dienste verlangen. Ein Unterzeichnungsbonus von {reg3} Dinaren wäre nur fair, denke ich.
