998
qstr_Next_Page Next_Page
qstr_Years_before_you_were Years_before_you_were_born,_your_Spanish_ancestors_moved_to_Mexico_seeking_fortune._Their_journey_to_the_new_world_was_difficult,_crowded_into_ships_with_thousands_of_other_immigrants.^^Your_father_was...
qstr_Years_before_you_were_ Years_before_you_were_born,_the_first_settlers_moved_west_seeking_fortune._Some_tribes_started_trading_with_them_while_others_fought_them.^^At_that_time_your_father_was...
qstr_You_were_always_a_pa You_were_always_a_patriot,_and_you_decided_you_would_rather_die_than_see_your_country_torn_apart_by_Southern_rebels.__You_offered_your_services_to_the_Union_in_the_American_Civil_War,_and_after_only_a_few_battles_you_made_a_name_for_yourself_as_a_soldier_whose_opinion_was_valued_by_many_commanders.__As_you_watched_the_supply_lines_move_and_the_army_engineers_and_surgeons_do_their_part,_you_realized_that_winning_a_war_takes_more_than_courageous_fighting.
qstr_The_way_of_life_of_y The_way_of_life_of_your_ancestors_was_changing_forever,_and_you_saw_opportunity_balancing_on_the_edge_of_a_bayonette.__For_steady_rations_and_a_musket_of_your_own,_you_offered_your_skills_and_knowledge_of_the_land_to_the_Union_forces_in_the_American_Civil_War.__Despite_your_repeated_display_of_exceptional_bravery,_you_were_never_promoted_within_the_army.__As_the_war_came_to_an_end,_you_were_discharged,_and_opportunity_had_somehow_slipped_through_your_fingers.
qstr_You_never_trusted_th You_never_trusted_the_Federal_government,_and_you_welcomed_the_opportunity_to_fight_for_liberty_just_as_your_forefathers_had_done.__You_joined_the_Confederate_forces_in_the_American_Civil_War,_and_soon_became_known_for_your_bravery,_your_keen_eye,_and_the_unforgiving_swing_of_your_sabre.__Like_the_famous_minutemen_of_the_revolution,_you_learned_that_deception_and_stealth_were_powerful_weapons,_and_that_hit-and-run_guerrilla_tactics_were_often_the_best_way_to_fight_an_enemy.
qstr_You_knew_you_had_fou You_knew_you_had_found_a_winning_horse_in_France_when_they_placed_Maximillian_I_on_the_the_Mexican_throne.__Lured_in_by_a_generous_wage_and_the_possibility_for_spoils_of_war,_you_enlisted_as_a_mercenary_with_the_French_and_the_puppet_Mexican_Empire.__You_witnessed_first_hand_that_while_the_Napoleanic_tactics_employed_by_the_French_still_had_their_place,_they_were_being_rendered_obsolete_by_advances_in_repeating_arms.__Unfortunately,_when_Napoleon_III_announced_the_withdrawal_of_all_French_forces,_you_knew_you_had_picked_the_wrong_horse.__You_gathered_up_what_you_could_of_your_wages_and_fled_north_under_the_cover_of_night.
qstr_You_never_had_the_de You_never_had_the_desire_to_throw_your_life_away_in_a_war,_but_when_you_heard_how_the_French_took_Mexico_City_and_placed_the_crown_on_the_head_of_a_Frenchman,_you_were_furious.__You_joined_the_Republican_forces_of_Mexico_immediately,_and_soon_became_known_as_a_skilled_pistolier_and_furious_lancer.__The_tide_of_the_war_began_to_shift_as_Republican_forces_gained_victory_after_vicory.__When_Napoleon_III_announced_the_withdrawl_of_all_French_forces,_you_knew_that_the_war_against_the_Mexican_puppet_empire_was_all_but_won.__You_knew_your_part_in_this_war_had_come_to_an_end,_and_rather_than_see_the_liberation_of_the_capital,_you_decided_to_return_north.
qstr_As_the_fighting_drew As_the_fighting_drew_many_soldiers_out_of_the_region,_Apache_and_Navaho_leaders_saw_a_golden_opportunity_and_went_on_the_warpath.__Unchecked,_The_tribes_wreaked_havoc_accross_the_plains._Eventually,_a_group_of_volunteers_led_by_Kit_Carson_managed_to_defeat_the_Navaho_and_force_a_surrender.__The_Apache_tribes,_however,_retreated_into_the_mountains_and_continued_to_make_raids.__You_became_a_warrior_in_battle,_and_returned_to_your_people_as_an_honored_champion.
qstr_As_the_fighting_drew_ As_the_fighting_drew_many_soldiers_out_of_the_region,_Comanche_and_Kiowa_leaders_intensified_their_raids_against_the_whites.__Fewer_American_soldiers_meant_more_horses_and_fewer_casualties.__Your_most_glorious_fighting_took_place_at_the_Battle_of_Adobe_Walls,_where_you_forced_Kit_Carson_and_his_volunteers_to_retreat_from_an_attack_on_your_village.__Throughout_the_years_of_your_raiding,_you_became_a_hardened_warrior,_and_a_hero_amongst_your_people.
qstr_You_never_liked_the_ You_never_liked_the_idea_of_dying_for_a_cause,_and_you_knew_that_war_did_present_many_opportunities_to_the_aspiring_entrepenuer.__You_supplied_the_highest_bidder_with_smuggled_weapons_and_supplies,_dealt_in_the_black_market,_and_even_found_time_to_raid_the_occasional_undefended_homesteads_now_and_again.__You_learned_to_play_on_people's_fears,_and_found_that_your_raids_increased_business_dramitically.__You_only_had_to_leave_an_inconspicuous_feather_or_a_tomahawk_at_the_scene,_and_within_hours_frightened_homesteaders_would_be_lining_up_to_buy_the_very_weapons_you_had_just_stolen.__But_when_the_wars_wound_down,_your_revenue_stream_dried_up.
qstr_You_viewed_the_war_a You_viewed_the_war_as_a_terrible_waste_of_life.__Your_responsibilites_were_still_with_the_ones_you_loved,_so_you_joined_the_local_militia_to_prevent_atrocities_at_home_rather_than_afar.__With_all_able_bodied_men_fighting_the_war,_any_semblance_of_law_had_gone_with_them._The_filth_of_society_raised_to_the_surface,_and_eventually,_those_you_had_stayed_to_protect_had_either_died_or_left.__You_remained_stalwart_in_your_cause,_hopeful_for_the_return_of_your_loved_ones_upon_the_end_of_the_war.__When_that_fateful_day_came,_the_shuffling_masses_that_were_shadows_of_the_people_you_once_knew_returned_home,_and_you_realized_that_despite_your_best_efforts,_you_had_failed_to_protect_anyone_at_all.
qstr_In_a_time_of_so_much In_a_time_of_so_much_war_and_so_many_enemies,_you_chose_to_spend_your_days_looking_over_your_people.__With_all_able_bodied_warriors_fighting_in_the_raids,_the_duties_of_defending_and_providing_for_the_tribe_fell_to_the_most_dependable_in_the_tribe.__Under_your_careful_watch,_you_managed_to_keep_your_people_safe_in_trying_times.
qstr_When_the_war_came_it When_the_war_came,_it_didn't_just_take_away_men;_it_took_away_fathers_and_brothers.__You_began_working_as_a_grade_school_teacher.__You_soon_developed_your_own_personal_method_of_teaching,_and_became_quite_effective_in_helping_even_the_most_troubled_children.__Eventually,_attendance_diminished_as_more_children_were_needed_on_the_family_farms,_and_your_services_were_no_longer_required.
qstr_You_were_unable_to_f You_were_unable_to_fight_in_the_war,_but_you_still_wanted_to_do_something_to_help.__You_joined_a_medical_unit_of_volunteer_nurses_to_help_treat_the_wounded.__At_times,_the_primitive_tools_and_medicines_available_seemed_to_make_fighting_seem_in_the_war_almost_preferable,_but_you_soon_learned_how_to_cope.__Eventually_the_day_came_when_you_decided_that_you_had_seen_enough_gangrenous_limbs_and_amputations,_and_you_decided_to_move_on.
qstr_You_just_happened_to You_just_happened_to_be_on_a_hot_streak_at_the_poker_table_when_the_dumbest,_richest,_and_drunkest_men_in_town_wandered_into_the_saloon.__A_few_hours_later,_you_had_everything_they_were_carrying_short_of_the_clothes_they_were_wearing.__When_you_started_to_hear_accusations_of_cheating,_you_checked_out_of_the_saloon,_liquidated_their_assets_at_the_local_trader,_and_made_off_for_the_next_town_with_a_small_fortune.
qstr_In_your_day_to_day_t In_your_day_to_day_travels,_you_came_across_a_stagecoach_that_had_recently_been_attacked.__You_knew_it_wasn't_indians;_too_many_goods_had_been_left_behind._This_was_definitely_bandits,_and_it_was_clear_that_they_were_only_after_money.__Fortunately,_they_left_behind_many_other_valuables,_and_like_any_good_opportunist,_you_decided_to_help_yourself.
qstr_You_were_very_surpri You_were_very_surprised_that_nothing_out_of_the_ordinary_has_happened_so_far_in_your_recent_travels._Normally,_your_life_is_just_full_of_exciting_events._Maybe_things_are_actually_starting_to_settle_down_for_you._On_the_other_hand,_maybe_this_is_just_the_calm_before_the_storm...
qstr_While_traveling_alon While_traveling_alone,_you_were_ambushed_by_bandits._You_were_knocked_unconscious_in_the_resulting_fight._When_you_awoke,_you_discovered_that_everything_you_were_carrying_had_been_stolen!
qstr_Back_to_the_beginnin Back_to_the_beginning...
qstr_View_next_segment... View_next_segment...
qstr___ _-
qstr__+ _+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_^Wage_debt:___{reg6} ^Wage_debt:__-{reg6}
qstr_Current_party_morale Current_party_morale_is_{reg5}.^Current_party_morale_modifiers_are:^^Base_morale:__+50^Party_size:_{s2}{reg1}^Leadership:_{s3}{reg2}^Food_variety:_{s4}{reg3}{s5}{s6}^Recent_events:_{s7}{reg4}^TOTAL:__{reg5}
qstr_Defending Defending
qstr_Gathering_army Gathering_army
qstr_Besieging_{s11} Besieging_{s11}
qstr_Raiding_{s11} Raiding_{s11}
qstr_Attacking_enemies_ar Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{s9}{s10}^Current_st {s9}{s10}^Current_state:_{s11}^Marshall:_{s12}^Since_the_last_offensive:_{reg1}_hours^Offensive_maximum_followers:_{reg2}^^
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_You_are_currently_re You_are_currently_reading_{s8}.
qstr_You_are_not_reading_ You_are_not_reading_any_books.
qstr_none none
qstr_{s5}_and_{s6} {s5}_and_{s6}
qstr_{s5}_{s6} {s5},_{s6}
qstr_Renown:_{reg2}.^Hono Renown:_{reg2}.^Honour_rating:_{reg3}.^Friends:_{s8}.^Enemies:_{s6}.^{s9}
qstr_Your_estates_are:_{s Your_estates_are:_{s8}.^{s9}
qstr_You_are_a_protector_ You_are_a_protector_of_{s8}.^{s9}
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+10^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_{s3}^{s2}_has_been_b {s3}^{s2}_has_been_besieged.
qstr_{s0}_has_{reg0}_cent {s0}_has_{reg0}_center(s)_under_sieged.^{s3}
qstr_Total_weekly_wages:_ Total_weekly_wages:_{reg0}^Total_current_cash:_{reg1}
qstr_Your_relations_with_ Your_relations_with_the_factions_are:^^Major_Factions:
qstr_{s1}^{s4}:_{reg1}__{ {s1}^{s4}:_{reg1}_({s3})
qstr_{s1}^^Gang_Factions: {s1}^^Gang_Factions:
qstr_{s1}^^Minor_Factions {s1}^^Minor_Factions:
qstr_{s1}^^Special_Factio {s1}^^Special_Factions:
qstr_Player_renown_is_inc Player_renown_is_increased_by_100._
qstr_One_Veteran_Voluntee One_Veteran_Volunteer_has_been_added_to_your_party.
qstr_One_Carabinero_has_b One_Carabinero_has_been_added_to_your_party.
qstr_One_Comanche_Wind_Ri One_Comanche_Wind_Rider_has_been_added_to_your_party.
qstr_One_Apache_Warrior_h One_Apache_Warrior_has_been_added_to_your_party.
qstr_{reg1}_{s1}_{reg2?ac {reg1}_{s1}_{reg2?accept:accepts}_the_offer.
qstr_No_one_accepts_the_o No_one_accepts_the_offer.
qstr_A_Silent_Killer A_Silent_Killer
qstr_An_American_Soldier An_American_Soldier
qstr_An_American_Settler An_American_Settler
qstr_A_Mexican_Officer A_Mexican_Officer
qstr_An_Apache_Warrior An_Apache_Warrior
qstr_A_Comanche_Tribal_Le A_Comanche_Tribal_Leader
qstr_ERROR ERROR
qstr_You_start_reading_{s You_start_reading_{s2}._After_a_few_pages,_you_feel_you_could_learn_a_lot_from_this_book._You_decide_to_keep_it_close_by_and_read_whenever_you_have_the_time.
qstr_You_flip_through_the You_flip_through_the_pages_of_{s2},_but_you_find_the_text_confusing_and_difficult_to_follow._Try_as_you_might,_it_soon_gives_you_a_headache,_and_you're_forced_to_give_up_the_attempt.
qstr_You_paid_{s13}_of_yo You_paid_{s13}_of_your_{s14}_to_your_men._You_have_{s15}_left.
qstr_Your_debt_to_your_me Your_debt_to_your_men_amounted_to_{s13},_however_you_only_had_{s14}._Unpaid_sum_of_{s15}_is_added_as_debt._Your_party_loses_morale.
qstr_This_week_s_wages:_{ This_week's_wages:_{s16}^Earlier_debts:_{s12}^Total_payment:_{s13}^Current_wealth:_{s14}^^{s1}
qstr_{s32}Your_honor_has_ {s32}Your_honor_has_substantially_adjusted_this_change.
qstr_{s32}Your_honor_has_g {s32}Your_honor_has_greatly_adjusted_this_change.
qstr_{s32}Your_honor_has_m {s32}Your_honor_has_moderately_adjusted_this_change.
qstr_{s32}Your_honor_has_s {s32}Your_honor_has_slightly_adjusted_this_change.
qstr_{s32}Your_dishonor_h {s32}Your_dishonor_has_substantially_adjusted_this_change.
qstr_{s32}Your_dishonor_ha {s32}Your_dishonor_has_greatly_adjusted_this_change.
qstr_{s32}Your_dishonor_has {s32}Your_dishonor_has_moderately_adjusted_this_change.
qstr_{s32}Your_dishonor_has_ {s32}Your_dishonor_has_slightly_adjusted_this_change.
qstr_{s32}Your_honor_did_ {s32}Your_honor_did_not_affect_this_change.
qstr_{s32}^^Your_new_rela {s32}^^Your_new_relations_are:^
qstr_{s32}^{s4}:_{reg1}_{ {s32}^{s4}:_{reg1}_{s3}
qstr_{s32}^ {s32}^
qstr_Villagers Villagers
qstr_You_have_encountered You_have_encountered_{s1}.
qstr_You_have_engaged_{s1 You_have_engaged_{s1}_while_they_were_raiding_{s3}.
qstr_You_were_caught_by_{ You_were_caught_by_{s1}_while_your_forces_were_raiding_{s3}.
qstr_Total_number_of_batt Total_number_of_battle_participants:_{reg0}
qstr_You_were_victorious! You_were_victorious!
qstr_Your_side_lost_the_b Your_side_lost_the_battle_completely.
qstr_You_re_too_wounded_t You're_too_wounded_to_fight_and_your_companions_carry_you_away.
qstr_You_have_defeated_th You_have_defeated_the_enemy.
qstr_You_have_retreated_f You_have_retreated_from_the_fight.
qstr_^^Ally_Casualties:{s ^^Ally_Casualties:{s0}
qstr_{s1}_of_{s3}_managed {s1}_of_{s3}_managed_to_escape.
qstr_{s17} {s17}
qstr_Victory_comment._Pla Victory_comment._Player_was_alone
qstr_Ordinary_victory_com Ordinary_victory_comment._The_player_provided_at_least_40_percent_forces.
qstr_Player_participation Player_participation_comment._The_enemy_had_at_least_1k_starting_strength.
qstr_No_victory_comment._ No_victory_comment._The_battle_was_small,_and_the_player_provided_less_than_40_percent_of_allied_strength
qstr_Some_of_your_tendons Some_of_your_tendons_have_been_damaged_in_the_battle._You_lose_1_strength.
qstr_You_took_a_nasty_wou You_took_a_nasty_wound_which_will_cause_you_to_limp_slightly_even_after_it_heals._Your_lose_1_agility.
qstr_You_have_trouble_thi You_have_trouble_thinking_straight_after_the_battle,_perhaps_from_a_particularly_hard_hit_to_your_head,_and_frequent_headaches_now_plague_your_existence._Your_intelligence_is_reduced_by_1.
qstr_Perhaps_I_m_getting_ Perhaps_I'm_getting_unlucky...
qstr_Retirement_is_starti Retirement_is_starting_to_sound_better_and_better.
qstr_No_matter!_I_will_pe No_matter!_I_will_persevere!
qstr_What_did_I_do_to_des What_did_I_do_to_deserve_this?
qstr_I_suppose_it_ll_make I_suppose_it'll_make_for_a_good_story,_at_least...
qstr_Player_retreats_from Player_retreats_from_battle
qstr_{s9}_wants_you_to_fo {s9}_wants_you_to_follow_his_army_until_further_notice.
qstr_{s8}_of_{s9} {s8}_of_{s9}
qstr__You_control_this_fo _You_control_this_fort.
qstr__This_fort_is_under_ _This_fort_is_under_the_control_of_{s7}.
qstr__This_fort_seems_to_ _This_fort_seems_to_be_controlled_by_no_one.
qstr__You_control_this_to _You_control_this_town.
qstr__This_town_is_under_ _This_town_is_under_the_control_of_{s7}.
qstr__The_townsfolk_here_ _The_townsfolk_here_have_declared_their_independence.
qstr_town town
qstr_fort fort
qstr_hotel hotel
qstr_The_{reg6?town_s:cas The_{reg6?town's:castle's}_food_stores_should_last_for_{reg3}_more_days.
qstr_The_{reg6?town_s:cast The_{reg6?town's:castle's}_food_stores_have_run_out_and_the_defenders_are_starving.
qstr_You_re_preparing_to_ You're_preparing_to_attack_the_walls._The_work_should_finish_in_{reg9}_hours.
qstr_Your_forces_are_buil Your_forces_are_building_a_siege_tower._They_estimate_another_{reg9}_hours_to_complete_the_build.
qstr_You_are_ready_to_att You_are_ready_to_attack_the_walls_at_any_time.
qstr_The_siege_tower_is_b The_siege_tower_is_built_and_ready_to_make_an_assault.
qstr_As_a_last_defensive_ As_a_last_defensive_effort,_you_retreat_to_the_main_hall_of_the_keep._You_and_your_remaining_soldiers_will_put_up_a_desperate_fight_here._If_you_are_defeated,_there's_no_other_place_to_fall_back_to.
qstr_You_ve_been_driven_a You've_been_driven_away_from_the_walls._Now_the_attackers_are_pouring_into_the_streets._IF_you_can_defeat_them,_you_can_perhaps_turn_the_tide_and_save_the_day.
qstr_You_ve_breached_the_ You've_breached_the_town_walls,_but_the_stubborn_defenders_continue_to_resist_you_in_the_streets!_You'll_have_to_deal_with_them_before_you_can_attack_the_keep_at_the_heart_of_the_town.
qstr_The_town_centre_is_y The_town_centre_is_yours,_but_the_remaining_defenders_have_retreated_to_the_castle._It_must_fall_before_you_can_complete_your_victory.
qstr_The_remaining_defend The_remaining_defenders_have_retreated_to_the_fort_tower_as_a_last_defense._You_must_go_in_and_crush_any_remaining_resistance.
qstr_However_since_you_ar However,_since_you_are_not_a_sworn_follower_of_{s9},_there_is_no_chance_he_would_recognize_you_as_the_commander_of_this_{reg8?town:fort}.
qstr_The_enemy_has_been_f The_enemy_has_been_forced_to_retreat._The_assault_is_over,_but_the_siege_continues.
qstr__This_village_and_th _This_village_and_the_surrounding_lands_are_under_your_control.
qstr__You_remember_that_t _You_remember_that_this_village_and_the_surrounding_lands_are_controlled_by_{s7}.
qstr__These_lands_are_und _These_lands_are_under_no_control.
qstr__{s3}__{reg9}_. _{s3}_({reg9}).
qstr__The_village_is_infe _The_village_is_infested_by_{reg8}_{s35}.
qstr__The_village_has_bee _The_village_has_been_looted._A_handful_of_souls_scatter_as_you_pass_through_the_burnt_out_houses.
qstr__The_village_is_bein _The_village_is_being_raided.
qstr_village village
qstr_No_one_here_seems_to No_one_here_seems_to_be_willing_to_join_your_party.
qstr_One_{s3}_volunteer_t One_{s3}_volunteer_to_follow_you.
qstr_{reg5}_{s3}_voluntee {reg5}_{s3}_volunteers_to_follow_you.
qstr_One_{s3}_volunteers_ One_{s3}_volunteers_to_follow_you.
qstr_{reg5}_{s3}_volunteer {reg5}_{s3}_volunteer_to_follow_you.
qstr_Try_as_you_might_you Try_as_you_might,_you_could_not_defeat_the_bandits._Infuriated,_they_raze_the_village_to_the_ground_to_punish_the_locals,_and_then_leave_the_burning_wasteland_behind_to_find_greener_pastures_to_plunder.
qstr_{s0} {s0}
qstr_{s18}_{s0} {s18},_{s0}
qstr_The_{s17}_has_no_imp The_{s17}_has_no_improvements.
qstr_The_{s17}_has_the_fo The_{s17}_has_the_following_improvements:{s18}.
qstr_The_assasins_beat_yo The_assasins_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_night._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_some_of_your Luckily_some_of_your_companions_come_to_search_for_you_when_you_do_not_return,_and_find_you_lying_by_the_side_of_the_road._They_hurry_you_to_safety_and_dress_your_wounds.
qstr_Luckily_some_passing Luckily_some_passing_townspeople_find_you_lying_by_the_side_of_the_road,_and_recognise_you_as_something_other_than_a_simple_beggar._They_carry_you_to_the_nearest_inn_and_dress_your_wounds.
qstr_Forget_the_cattle!_P Forget_the_cattle!_Prepare_to_fight_for_you_live!
qstr_You_fail_to_steal_an You_fail_to_steal_any_cattle._The_locals_caught_you_in_the_act_and_some_of_them_gather_to_arms.
qstr_You_fail_to_steal_any You_fail_to_steal_any_cattle._The_locals_caught_you_in_the_act_but_are_too_weak_to_resist.
qstr_You_drive_away_{reg1 You_drive_away_{reg17}_{reg12?heads:head}_of_cattle_from_the_village's_herd.
qstr_Forget_the_horses!_P Forget_the_horses!_Prepare_to_fight_for_your_life!
qstr_You_fail_to_steal_any_ You_fail_to_steal_any_horses._The_locals_caught_you_in_the_act_and_gather_to_arms.
qstr_You_fail_to_steal_any_h You_fail_to_steal_any_horses._The_locals_caught_you_in_the_act_but_are_too_weak_to_resist.
qstr_You_drive_away_{reg17 You_drive_away_{reg17}_horses_from_the_village's_herd.
qstr_The_bank_s_guards_wi The_bank's_guards_will_resist_you._You_won't_get_into_the_bank_without_defeating_them.
qstr_Some_of_the_angry_vi Some_of_the_angry_villagers_grab_their_weapons_and_prepare_to_resist_you._It_looks_like_you'll_have_a_fight_on_your_hands_if_you_continue.
qstr_You_are_at_{s2}. You_are_at_{s2}.
qstr__You_have_successful _You_have_successfully_sneaked_in.
qstr_{s13}_A_tournament_w {s13}_A_tournament_will_be_held_here_soon.
qstr___{reg1}_cents_per_n _({reg1}_cents_per_night)
qstr_Moreover_you_earn_{r Moreover,_you_earn_{reg8}_cents_from_the_clever_bets_you_placed_on_yourself...
qstr_Victory_is_yours!_Yo Victory_is_yours!_You_have_won_this_melee,_but_now_you_must_prepare_yourself_for_the_next_round._
qstr_You_have_been_bested You_have_been_bested_in_this_melee,_but_the_master_of_ceremonies_declares_a_recognition_of_your_skill_and_bravery,_allowing_you_to_take_part_in_the_next_round._
qstr_{s11}^{s12} {s11}^{s12}
qstr_You_were_beaten._The You_were_beaten._The_locals_are_heartened_by_their_success,_but_the_lesson_you_wanted_to_teach_them_probably_didn't_get_through...
qstr_After_beating_your_l After_beating_your_last_opponent,_you_explain_to_the_locals_how_to_better_defend_themselves_against_such_an_attack._Hopefully_they'll_take_the_experience_on_board_and_will_be_prepared_next_time.
qstr_The_bandits_are_brok The_bandits_are_broken!_Those_few_who_remain_alive_and_conscious_run_off_with_their_tails_between_their_legs,_terrified_of_the_locals_and_their_new_champion.
qstr_{s1}_s_Steamboat {s1}'s_Steamboat
qstr_^{s3}_=_{reg1}{s1} ^{s3}_=_{reg1}{s1}
qstr_^{s3}_=_{reg1}{s2} ^{s3}_=_{reg1}{s2}
qstr_However_{reg3?You_ar However,_{reg3?You_are:{s1}_is}_unable_to_find_any_trade_goods_that_would_bring_a_profit.
qstr_^Buying_{s4}_here_an ^Buying_{s4}_here_and_selling_it_at_{s5}_would_bring_a_profit_of_{reg6}_cents_per_item.{s3}
qstr_{reg3?You_find:{s1}_ {reg3?You_find:{s1}_finds}_out_the_following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear {s2}^{reg1}_{s1}_earned_{reg0}_experience.
qstr_{s2}^{s1}_earned_an_ {s2}^{s1}_earned_an_additional_{reg0}_experience.
qstr_^You_earned_{reg0}_e ^You_earned_{reg0}_experience.{s2}
qstr_The_training_didn_t_ The_training_didn't_go_well_at_all.
qstr_The_training_didn_t_g The_training_didn't_go_very_well.
qstr_The_training_went_qu The_training_went_quite_well.
qstr_The_training_went_ve The_training_went_very_well.
qstr_The_training_went_pe The_training_went_perfectly.
qstr_The_bounty_hunters_h The_bounty_hunters_have_taken_you_alive._You_have_no_idea_where_you_are_headed_from_here,_but_you_assume_they_will_be_taking_you_in_to_claim_their_reward.
qstr_Your_enemies_take_yo Your_enemies_take_you_prisoner.
qstr_After_painful_days_o After_painful_days_of_being_dragged_about_as_a_prisoner,_you_find_a_chance_and_escape_from_the_bounty_hunters.^^Unfortunately,_they_have_noticed_your_escape_and_are_giving_chase!
qstr_After_painful_days_of After_painful_days_of_being_dragged_about_as_a_prisoner,_you_find_a_chance_and_escape_from_your_captors!
qstr_outlaws outlaws
qstr_commoners commoners
qstr_The_bounty_hunters_ha The_bounty_hunters_have_finally_stopped._It_seems_that_the_{s2}_who_posted_the_bounty_on_your_head_have_arranged_for_you_to_be_handed_over_to_{s1}.^^
qstr_{s0}You_see_the_boun {s0}You_see_the_bounty_hunters_and_guards_exchange_money_and_shake_hands._Then_a_bag_is_placed_over_your_head_and_you_are_led_away_to_your_cell.
qstr_{s13}_asked_you_to_r {s13}_asked_you_to_report_to_him_with_at_least_{reg13}_troops.
qstr_{s13}_ordered_you_to {s13}_ordered_you_to_join_the_assault_against_{s14}.
qstr_Find_and_speak_with_ Find_and_speak_with_{s3}_of_{s4}_to_give_him_your_oath_of_homage.
qstr_you you
qstr_You_and_your_compani You_and_your_companions
qstr_You You
qstr__have_been_separated _have_been_separated_from_your_troops_and_must_fight_alone!
qstr__must_prepare_to_mak _must_prepare_to_make_your_stand!
qstr_You_have_been_ambush You_have_been_ambushed_by_{s1}!^^{s2}{s3}
qstr_All_Deer_Escaped! All_Deer_Escaped!
qstr_Buffalos_Escaped! Buffalos_Escaped!
qstr_The_bandits_beat_you The_bandits_beat_you_down_and_leave_you_for_dead._.
qstr_You_have_fallen._The_ You_have_fallen._The_bandits_quickly_search_your_body_for_every_coin_they_can_find,_then_vanish_into_the_plains._They_have_left_you_alive,_if_only_barely.
qstr_Luckily_a_passing_tr Luckily_a_passing_trapper_finds_you_lying_by_the_side_of_the_road,_and_recognise_you_as_a_honest_person._He_carries_you_to_the_nearest_hut_and_dresses_your_wounds.
qstr__Current_faction_col (Current_faction_colour)
qstr_The_United_States The_United_States
qstr_Mexico Mexico
qstr_The_Apache The_Apache
qstr_The_Comanche The_Comanche
qstr_The_Mexican_Banda The_Mexican_Banda
qstr_The_American_Lawmen The_American_Lawmen
qstr_The_American_Gang The_American_Gang
qstr_ERROR:_player_factio ERROR:_player_faction_out_of_range.
qstr_Breaking_camp... Breaking_camp...
qstr__DEBUG_Hotel_income_ _DEBUG_Hotel_income_{reg24}_cents.
qstr__DEBUG_Stable_income _DEBUG_Stable_income_{reg25}_cents.
qstr__DEBUG_Way_Station_i _DEBUG_Way_Station_income_200_cents_plus_{reg26}_cents.
qstr__DEBUG_Saloon_income _DEBUG_Saloon_income_{reg27}_cents.
qstr__DEBUG_Gambling_inco _DEBUG_Gambling_income_{reg28}_cents.
qstr__DEBUG_Bordello_inco _DEBUG_Bordello_income_250_cents_plus_{reg29}_cents.
qstr_Current_wealth:_{reg Current_wealth:_{reg1}
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_Party_has_nothing_to Party_has_nothing_to_eat!
qstr_{reg1}_{s1}_{reg2?ha {reg1}_{s1}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_{s1}_of_{s3}_has_bee {s1}_of_{s3}_has_been_released_from_captivity.
qstr_Building_of_{s0}_in_ Building_of_{s0}_in_{s4}_has_been_completed.
qstr_{s1}_is_infested_by_b {s1}_is_infested_by_bandits_(at_night).
qstr_{s1}_is_no_longer_in {s1}_is_no_longer_infested_by_bandits_(at_night).
qstr_{s1}_is_infested_by_h {s1}_is_infested_by_hunters.
qstr_{s1}_is_no_longer_inf {s1}_is_no_longer_infested_by_hunters.
qstr_You_pay_for_accommod You_pay_for_accommodation.
qstr__Your_tactics_skill_ _Your_tactics_skill_has_increased_by_1.
qstr__Your_persuasion_ski _Your_persuasion_skill_has_increased_by_1.
qstr__Your_leadership_ski _Your_leadership_skill_has_increased_by_1.
qstr__Your_intelligence_h _Your_intelligence_has_increased_by_1.
qstr__Your_trade_skill_ha _Your_trade_skill_has_increased_by_1.
qstr__Your_weapon_master_ _Your_weapon_master_skill_has_increased_by_1.
qstr__Your_engineer_skill _Your_engineer_skill_has_increased_by_1.
qstr_You_have_finished_re You_have_finished_reading_{s1}.{s2}
qstr_Book_Read Book_Read
qstr_You_must_follow_{s1} You_must_follow_{s1}!
qstr_You_must_follow_{s1}! You_must_follow_{s1}!_This_is_your_last_warning!
qstr_{s1}_is_scouted. {s1}_is_scouted.
qstr_{s1}_has_switched_fr {s1}_has_switched_from_{s2}_to_{s3}.
qstr_{s1}_is_willing_to_s {s1}_is_willing_to_switch_from_{s2}_to_{s3}.
qstr_DEBUG:_relocated_bou DEBUG:_relocated_bounty_hunter_ambush_location.
qstr_DEBUG:_Ambush_Cooldo DEBUG:_Ambush_Cooldown_Decremented_{reg1}
qstr_DEBUG:_Ambushed! DEBUG:_Ambushed!
qstr_You_have_detected_an You_have_detected_an_ambush_using_your_spotting_skill!
qstr_DEBUG:_You_have_been DEBUG:_You_have_been_turned_in_for_a_bounty!
