stringsfile version 1
1629
str_no_string NO_STRING!
str_name_43 Hank
str_name_44 Harland
str_name_45 Harold
str_name_46 Harvey
str_name_47 Henry
str_name_48 Hiram
str_name_49 Horace
str_name_50 Horatio
str_name_51 Hugh
str_name_52 Isaiah
str_name_53 Ike
str_name_54 Isaac
str_name_55 Jake
str_name_56 Jacob
str_name_57 James
str_name_58 Jim
str_name_59 John
str_name_60 Jack
str_name_61 Jeff
str_name_62 Jedediah
str_name_63 Jesse
str_name_64 Joel
str_name_65 John_Paul
str_name_66 John_Wesley
str_name_67 Jonathan
str_name_68 Joseph
str_name_69 Josephus
str_name_70 Joshua
str_name_71 Julian
str_name_72 Julius
str_name_73 Lafayette
str_name_74 Larry
str_name_75 Lawrence
str_name_76 Lester
str_name_77 Leslie
str_name_78 Lewis
str_name_79 Levi
str_name_80 Lucas
str_name_81 Lucius
str_name_82 Luke
str_name_83 Luther
str_name_84 Louis
str_name_85 Levi
str_name_86 Lucas
str_name_87 Lucian
str_name_88 Lucius
str_name_89 Luke
str_name_90 Luther
str_name_91 Matthew
str_name_92 Marcellus
str_name_93 Mark
str_name_94 Martin
str_name_95 Masheck
str_name_96 Maurice
str_name_97 Maxwell
str_name_98 Merrill
str_name_99 Meriwether
str_name_100 Michael
str_name_101 Mike
str_name_102 Micajah
str_name_103 Mordecai
str_name_104 Morgan
str_name_105 Morris
str_name_106 Nathan
str_name_107 Nathaniel
str_name_108 Nate
str_name_109 Ned
str_name_110 Newt
str_name_111 Nicholas
str_name_112 Nick
str_name_113 Ninian
str_name_114 Obediah
str_name_115 Octavius
str_name_116 Oral
str_name_117 Orville
str_name_118 Oscar
str_name_119 Owen
str_name_120 Paul
str_name_121 Patrick
str_name_122 Pat_
str_name_123 Paul
str_name_124 Perry
str_name_125 Peter
str_name_126 Pleasant
str_name_127 Ralph
str_name_128 Raymond
str_name_129 Reuben
str_name_130 Robert
str_name_131 Rich
str_name_132 Richard
str_name_133 Roderick
str_name_134 Rudolph
str_name_135 Rufus
str_name_136 Samuel
str_name_137 Seth
str_name_138 Silas
str_name_139 Simon
str_name_140 Simeon
str_name_141 Stan_
str_name_142 Stanley
str_name_143 Stephen
str_name_144 Thaddeus
str_name_145 Tom
str_name_146 Thomas
str_name_147 Theodore
str_name_148 Ted
str_name_149 Tim
str_name_150 Timothy
str_name_151 Ulysses
str_name_152 Uriah
str_name_153 Victor
str_name_154 Walter
str_name_155 Warren
str_name_156 Washington
str_name_157 Wilfred
str_name_158 Will
str_name_159 William
str_name_160 Willie
str_name_161 Zachariah
str_name_162 Zebulon
str_name_163 Zedock
str_nickname_1 `{s50}_the_Kid`
str_nickname_2 `{s50}_the_Wily`
str_nickname_3 `{s50}_the_Long`
str_nickname_4 `{s50}_the_Gaunt`
str_nickname_5 `{s50}_the_Hell-Raiser`
str_nickname_6 `{s50}_the_Swindler`
str_nickname_7 `{s50}_the_Tall`
str_nickname_8 `{s50}_the_Quick`
str_nickname_9 `{s50}_the_Bold`
str_nickname_10 `{s50}_the_Hot-Head`
str_nickname_11 `{s50}_the_Snake`
str_nickname_12 `{s50}_the_Brave`
str_nickname_13 `{s50}_the_Wicked`
str_nickname_14 `{s50}_the_Rustler`
str_nickname_15 `{s50}_the_Grim`
str_nickname_16 `{s50}_the_Scarred`
str_nickname_17 `{s50}_the_Coward`
str_nickname_18 `{s50}_the_Womanizer`
str_nickname_19 `Heartless_{s50}`
str_nickname_20 `Fearless_{s50}`
str_nickname_21 `Wild_{s50}`
str_nickname_22 `Crazy_{s50}`
str_nickname_23 `Crazy_Eyed_{s50}`
str_nickname_24 `Slick_{s50}`
str_nickname_25 `Honest_{s50}`
str_nickname_26 `Lynchin'_{s50}`
str_nickname_27 `Doc_{s50}`
str_nickname_28 {s50}_`Zwing`
str_nickname_29 {s50}_`Tulsa_Jack`
str_nickname_30 `Rattlesnake_{s50}`
str_nickname_31 `Curly_{s50}`
str_nickname_32 `Whip_{s50}`
str_nickname_33 {s50}_`Butch`
str_nickname_34 {s50}_`Old_Man`
str_nickname_35 `Little_{s50}`
str_nickname_36 `Dynamite_{s50}`
str_nickname_37 `Windy_{s50}`
str_nickname_38 {s50}_`Big_Nose`
str_nickname_39 {s50}_`Three_Fingered`
str_nickname_40 `Whiskey_{s50}`
str_nickname_41 `Teton_{s50}`
str_nickname_42 {s50}_`Buck`
str_nickname_43 `Arkansas_{s50}`
str_nickname_44 `Lazy_{s50}`
str_nickname_45 {s50}_`Sundance`
str_nickname_46 {s50}_`Deacon`
str_nickname_47 {s50}_`Hoodoo`
str_nickname_48 {s50}_`Bitter_Creek`
str_nickname_49 {s50}_`Big_Foot`
str_nickname_50 {s50}_`Bud`
str_nickname_51 {s50}_`Texas_Jack`
str_nickname_52 `Rotten_{s50}`
str_nickname_53 `Red_{s50}`
str_nickname_54 `Black_{s50}`
str_nickname_55 `Nasty_{s50}`
str_nickname_56 `Clumsy_{s50}`
str_nickname_57 {s50}_`Pretty_Boy`
str_surname_1 {s50}_Alvord
str_surname_2 {s50}_Anderson
str_surname_3 {s50}_Allison
str_surname_4 {s50}_Baker
str_surname_5 {s50}_Barnes
str_surname_6 {s50}_Bolton
str_surname_7 {s50}_Bass
str_surname_8 {s50}_Beni
str_surname_9 {s50}_Billee
str_surname_10 {s50}_Bonney
str_surname_11 {s50}_Brocious
str_surname_12 {s50}_Brooks
str_surname_13 {s50}_Brown
str_surname_14 {s50}_Buck
str_surname_15 {s50}_Bullion
str_surname_16 {s50}_Burrow
str_surname_17 {s50}_Burts
str_surname_18 {s50}_Cassidy
str_surname_19 {s50}_Charley
str_surname_20 {s50}_Claiborne
str_surname_21 {s50}_Clifton
str_surname_22 {s50}_Christie
str_surname_23 {s50}_Colbert
str_surname_24 {s50}_Cornett
str_surname_25 {s50}_Cortina
str_surname_26 {s50}_Cortez
str_surname_27 {s50}_Curry
str_surname_28 {s50}_Cook
str_surname_29 {s50}_Clide
str_surname_30 {s50}_Dalton
str_surname_31 {s50}_Daly
str_surname_32 {s50}_Daugherty
str_surname_33 {s50}_Davis
str_surname_34 {s50}_Donahue
str_surname_35 {s50}_Doolin
str_surname_36 {s50}_Elliott
str_surname_37 {s50}_Evans
str_surname_38 {s50}_Fisher
str_surname_39 {s50}_Flores
str_surname_40 {s50}_Harper
str_surname_41 {s50}_Helm
str_surname_42 {s50}_Henry
str_surname_43 {s50}_Hart
str_surname_44 {s50}_Hardin
str_surname_45 {s50}_Higgins
str_surname_46 {s50}_Horn
str_surname_47 {s50}_Jackson
str_surname_48 {s50}_James
str_surname_49 {s50}_Jerrell
str_surname_50 {s50}_Johnson
str_surname_51 {s50}_O'Rourke
str_surname_52 {s50}_Ketchum
str_surname_53 {s50}_Leslie
str_surname_54 {s50}_Longabaugh
str_surname_55 {s50}_Longley
str_surname_56 {s50}_McMasters
str_surname_57 {s50}_Middleton
str_surname_58 {s50}_Miles
str_surname_59 {s50}_Miller
str_surname_60 {s50}_Miner
str_surname_61 {s50}_Moore
str_surname_62 {s50}_Murieta
str_surname_63 {s50}_Murphy
str_surname_64 {s50}_Musgrove
str_surname_65 {s50}_Newcomb
str_surname_66 {s50}_O'Kelley
str_surname_67 {s50}_O'Neill
str_surname_68 {s50}_Pickett
str_surname_69 {s50}_Reed
str_surname_70 {s50}_Reno
str_surname_71 {s50}_Roseberry
str_surname_72 {s50}_Riley
str_surname_73 {s50}_Ringo
str_surname_74 {s50}_Rudabaugh
str_surname_75 {s50}_Ruggles
str_surname_76 {s50}_Short
str_surname_77 {s50}_Scurlock
str_surname_78 {s50}_Selman
str_surname_79 {s50}_Skinner
str_surname_80 {s50}_Smith
str_surname_81 {s50}_Sparks
str_surname_82 {s50}_Starr
str_surname_83 {s50}_Taggart
str_surname_84 {s50}_Tracy
str_surname_85 {s50}_Thompson
str_surname_86 {s50}_Vasquez
str_surname_87 {s50}_Vermillion
str_surname_88 {s50}_White
str_surname_89 {s50}_Younger
str_surnames_end surnames_end
str_crime_1 petty_theft
str_crime_2 wanton_buffoonery
str_crime_3 selling_snake_oil
str_crime_4 spitting_on_a_man's_boot
str_crime_5 wearing_a_hat_indoors
str_crime_6 shoeing_a_horse_without_a_license
str_crime_7 unpaid_gambling_debts
str_crime_8 overdue_bar_debts
str_crime_9 chewing_gum_in_line
str_crime_10 desertion
str_crime_11 horse_thieving
str_crime_12 swindling
str_crime_13 livestock_theft
str_crime_14 destruction_of_property
str_crime_15 larceny
str_crime_16 stampeding_cattle
str_crime_17 cheating_at_cards
str_crime_18 pruning_the_hedges_of_many_small_villages
str_crime_19 hornswaggling
str_crime_20 armed_robbery
str_crime_21 cold-blooded_murder
str_crime_22 rape
str_crime_23 murder
str_crime_24 arson
str_crime_25 plundering
str_crime_26 causing_mayhem
str_crime_27 lynching
str_crime_28 rape,_murder,_arson_and_rape
str_crime_29 raping_the_horses_and_riding_off_on_the_women
str_crime_30 ridin'_into_town,_a_whampin'_and_whompin'_every_livin'_thing_that_moves_within_an_inch_of_its_life
str_crimes_end crimes_end
str_number_of_troops_killed_reg1 Number_of_troops_killed:_{reg1}
str_number_of_troops_wounded_reg1 Number_of_troops_wounded:_{reg1}
str_number_of_own_troops_killed_reg1 Number_of_friendly_troops_killed:_{reg1}
str_number_of_own_troops_wounded_reg1 Number_of_friendly_troops_wounded:_{reg1}
str_retreat Retreat!
str_siege_continues Fighting_Continues...
str_casualty_display Your_casualties:_{s10}^Enemy_casualties:_{s11}{s12}
str_casualty_display_hp ^You_were_wounded_for_{reg1}_hit_points.
str_quest_log_updated Quest_log_has_been_updated...
str_banner_selection_text You_have_been_awarded_the_right_to_carry_a_banner._Your_banner_will_signify_your_status_and_bring_you_honour._Which_banner_do_you_want_to_choose?
str_retirement_text_1 Only_too_late_do_you_realise_that_your_money_won't_last._It_doesn't_take_you_long_to_fritter_away_what_little_you_bothered_to_save,_and_you_fare_poorly_in_several_desperate_attempts_to_start_adventuring_again._You_end_up_a_beggar_in_{s9},_living_on_alms_and_the_charity_of_the_church.
str_retirement_text_2 Only_too_late_do_you_realise_that_your_money_won't_last._It_doesn't_take_you_long_to_fritter_away_what_little_you_bothered_to_save._Once_every_dollar_has_evaporated_in_your_hands_you_are_forced_to_start_a_life_of_crime_in_the_backstreets_of_{s9},_using_your_skills_to_eke_out_a_living_robbing_from_women_and_poor_townsmen.
str_retirement_text_3 Only_too_late_do_you_realise_that_your_money_won't_last._It_doesn't_take_you_long_to_fritter_away_what_little_you_bothered_to_save,_and_you_end_up_a_penniless_drifter,_going_from_saloon_to_saloon_blagging_drinks_from_indulgent_patrons_by_regaling_them_with_war_stories_that_no_one_ever_believes.
str_retirement_text_4 The_money_you've_saved_doesn't_last_long,_but_you_manage_to_put_together_enough_to_buy_some_land_near_the_village_of_{s7}._There_you_become_a_free_farmer,_and_you_soon_come_to_look_out_for_the_welfare_of_your_neighboring_farmers._In_time_the_villagers_come_to_treat_you_as_their_local_hero._You_always_receive_a_place_of_honour_at_feasts,_and_your_exploits_are_told_and_retold_in_the_pubs_and_saloons_so_that_the_children_may_keep_a_memory_of_you_for_ever_and_ever.
str_retirement_text_5 The_money_you've_saved_doesn't_last_long,_but_it's_enough_to_buy_a_small_saloon_in_{s9}._Although_the_locals_are_wary_of_you_at_first,_they_soon_accept_you_into_their_midst._In_time_your_growing_saloon_becomes_a_popular_feasthall_and_meeting_place._People_come_for_miles_to_eat_or_stay_there_due_to_your_sheer_renown_and_the_epic_stories_you_tell_of_your_adventuring_days.
str_retirement_text_6 You've_saved_wisely_throughout_your_career,_and_now_your_silver_and_your_intelligence_allow_you_to_make_some_excellent_investments_to_cement_your_future._After_buying_several_shops_and_warehouses_in_{s9},_your_shrewdness_turns_you_into_one_of_the_most_prominent_merchants_in_town,_and_you_soon_become_wealthy,_and_known_as_much_for_your_trading_empire_as_your_exploits_in_battle.
str_retirement_text_7 As_a_landed_noble,_however_minor,_your_future_is_all_but_assured._You_settle_in_your_holdfast_at_{s7},_administrating_the_village_and_fields,_adjudicating_the_local_courts_and_fulfilling_your_obligations_to_your_liege_lord._Occasionally_your_liege_calls_you_to_muster_and_command_in_his_campaigns,_but_these_stints_are_brief,_and_you_never_truly_return_to_the_adventuring_of_your_younger_days._You_have_already_made_your_fortune._With_your_own_hall_and_holdings,_you've_few_wants_that_your_personal_wealth_and_the_income_of_your_lands_cannot_afford_you.
str_retirement_text_8 There_is_no_question_that_you've_done_very_well_for_yourself._Your_extensive_holdings_and_adventuring_wealth_are_enough_to_guarantee_you_a_rich_and_easy_life_for_the_rest_of_your_days._Retiring_to_your_noble_seat_in_{s8},_you_exchange_adventure_for_politics,_and_you_soon_establish_yourself_as_a_considerable_power_in_your_liege_lord's_kingdom._With_intrigue_to_busy_yourself_with,_your_own_forests_to_hunt,_a_hall_to_feast_in_and_a_hundred_fine_war_stories_to_tell,_you_have_little_trouble_making_the_best_of_the_years_that_follow.
str_retirement_text_9 As_a_reward_for_your_competent_and_loyal_service,_your_liege_lord_decrees_that_you_be_given_a_hereditary_title,_joining_the_major_nobility_of_the_realm._Soon_you_complete_your_investitute_as_baron_of_{s7},_and_you_become_one_of_your_liege's_close_advisors_and_adjutants._Your_renown_garners_you_much_subtle_pull_and_influence_as_well_as_overt_political_power._Now_you_spend_your_days_playing_the_games_of_power,_administering_your_great_fiefs,_and_recounting_the_old_times_of_adventure_and_glory.
str_retirement_text_10 Though_you_started_from_humble_beginnings,_your_liege_lord_holds_you_in_high_esteem,_and_a_ripple_of_shock_passes_through_the_realm_when_he_names_you_to_the_hereditary_title_of_ruler_of_{s9}._Vast_fiefs_and_fortunes_are_now_yours_to_rule._You_quickly_become_your_liege's_most_trusted_advisor,_almost_his_equal_and_charged_with_much_of_the_running_of_his_realm,_and_you_sit_a_throne_in_your_own_splendourous_palace_as_one_of_the_most_powerful_figures_in_Calradia.
str_loot_village attack_innocent_villagers
str_steal_from_villagers steal_from_poor_villagers
str_rob_caravan rob_a_merchant_caravan
str_sell_slavery sell_people_into_slavery
str_men_hungry run_out_of_food
str_men_unpaid not_be_able_to_pay_the_men
str_excessive_casualties turn_every_battle_into_a_bloodbath_for_our_side
str_surrender surrender_to_the_enemy
str_flee_battle run_from_battle
str_pay_bandits pay_off_common_bandits
str_fail_quest fail_a_quest_which_we_undertook_on_word_of_honour
str_squander_money squander_money_given_to_us_in_trust
str_murder_merchant involve_ourselves_in_cold-blooded_murder
str_round_up_serfs round_up_serfs_on_behalf_of_some_noble
str_battle_fate_1 We_were_separated_in_the_heat_of_battle
str_battle_fate_2 I_was_wounded_and_left_for_dead
str_battle_fate_3 I_was_knocked_senseless_by_the_enemy
str_battle_fate_4 I_was_taken_and_held_for_ransom
str_battle_fate_5 I_got_captured,_but_later_managed_to_escape
str_npc_morale_report I'm_{s6}_your_choice_of_companions,_{s7}_your_style_of_leadership,_and_{s8}_the_general_state_of_affairs
str_happy happy_about
str_content content_with
str_concerned concerned_about
str_not_happy not_at_all_happy_about
str_miserable downright_appalled_at
str_morale_reg1 _Morale:_{reg1}
str_bar_enthusiastic ___________________Enthusiastic
str_bar_content ______________Content
str_bar_weary __________Weary
str_bar_disgruntled _____Disgruntled
str_bar_miserable __Miserable
str_here_plus_space here_
str_npc1_intro I_say_there_friend,_did_I_perchance_see_you_ride_into_town_at_the_head_of_that_band_of_ne'er-do-wells_just_a_moment_ago?
str_npc2_intro Hello_there!_You_look_like_nice_man_who_can_give_me_job!
str_npc3_intro I_am_a_clown.
str_npc4_intro Hello_there,_mate._Name's_Oscar_Harrison._Everyone_just_calls_me_Harrison.
str_npc5_intro Good_day._I'm_Dr._Valentine.
str_npc6_intro The_hell_do_you_want?
str_npc7_intro Hello._I_am_known_as_Smiling_Rabbit._I_am_an_experienced_scout_looking_for_work.
str_npc8_intro Well,_Howdy_there!_The_name's_Bartholomew_Jones.__What_are_you_known_by?
str_npc9_intro Don't_suppose_you_need_a_trail_cook,_do_ya?
str_npc10_intro Hola,_Amigo._Mi_nombre_es_Pablo.__Y_tu?
str_npc11_intro Greetings._I_am_called_Mah-wis-ah._I_am_a_broken_woman_and_the_last_of_my_tribe.
str_npc12_intro Howdy,_pardner._What_can_Hickory_Jim_do_for_you?
str_npc13_intro Hiya,_pal._You_new_around_here?
str_npc14_intro You_are_a_cousin_to_me,_but_I_do_not_know_your_name.
str_npc15_intro I_welcome_you,_my_friend._You_may_call_me_Tears-in-his-eyes.
str_npc16_intro Why_hello_stranger._What_an_attractive_creature_you_are.
str_npc17_intro Hello_to_you._I'm_Handsome_Hank,_and_I_need_a_job.
str_npc18_intro Hey,_what're_you_doing_here?
str_npc1_intro_response_1 Could_be._What's_it_to_you_Dandy_Dan?
str_npc2_intro_response_1 Possibly._I'm_listening.
str_npc3_intro_response_1 That's...different.
str_npc4_intro_response_1 Can't_place_that_accent._Where_you_from?
str_npc5_intro_response_1 A_doctor!_I_could_definitely_use_one._You_know_how_bullet_wounds_can_go_untreated.
str_npc6_intro_response_1 Huh?_Did_I_say_something?
str_npc7_intro_response_1 Tell_me_about_yourself.
str_npc8_intro_response_1 My_name_is_{playername}._Pleased_to_meet_you,_Bart.
str_npc9_intro_response_1 Well,_usually_I_just_scorch_my_food_in_a_camp_fire_and_salt_it_up_a_bit.
str_npc10_intro_response_1 Mi_nombre_es_{playername}._What's_your_story?__En_Engles.
str_npc11_intro_response_1 What_happened_to_you?
str_npc12_intro_response_1 Depends._What_does_Hickory_Jim_do?
str_npc13_intro_response_1 Uh,_kinda._I'm_{playername}._Who_are_you?
str_npc14_intro_response_1 Hello._I_am_{playername}.
str_npc15_intro_response_1 I_welcome_you,_Tears-in-his-eyes._You_may_call_me_{playername}.
str_npc16_intro_response_1 Hello_to_you.__I_am_{playername}.__Pleased_to_make_your_acquaintance.
str_npc17_intro_response_1 You're_built_like_a_mule.
str_npc18_intro_response_1 That_depends._What_are_YOU_doing_here?
str_npc1_intro_response_2 Step_back,_you_british_snob.
str_npc2_intro_response_2 Sorry,_Chinaman,_but_I'm_not_interested.
str_npc3_intro_response_2 I_hate_clowns.
str_npc4_intro_response_2 Sorry,_'mate',_but_I've_got_better_things_to_do_right_now.
str_npc5_intro_response_2 Actually,_it_is_a_rather_bad_day._Goodbye.
str_npc6_intro_response_2 Nothing.
str_npc7_intro_response_2 Just_keep_smiling,_rabbit.__I'm_not_hiring.
str_npc8_intro_response_2 Me?__I_am_known_as_Thaddius_Hamfuddery,_and_I'm_a_busy_man!_Gotta_go!
str_npc9_intro_response_2 Ha!_The_last_thing_I_need_is_a_worthless_cook!.
str_npc10_intro_response_2 No_comprendo._Adios.
str_npc11_intro_response_2 Yep._Broken_and_unemployable.
str_npc12_intro_response_2 Absolutely_nothin'.
str_npc13_intro_response_2 Uh!_You're_hideous!
str_npc14_intro_response_2 Good._Let's_keep_it_that_way._Later,_cousin.
str_npc15_intro_response_2 Hey,_just_don't_call_me_late_for_supper!_I_gotta_go!
str_npc16_intro_response_2 Eek!_I_thought_you_were_a_man!
str_npc17_intro_response_2 Nice_to_meet_you,_'Handsome_Hank'._I'm_'Not_interested'._Excuse_me.
str_npc18_intro_response_2 Not_talking_to_you.
str_npc1_backstory_a Ah,_excellent!_I_say,_my_name_is_Charles_Huntington,_of_the_Boston_Huntingtons._Perhaps_you've_heard_of_us?_No?
str_npc2_backstory_a You_want_hear_my_story?
str_npc3_backstory_a Piss_off._I'm_a_clown_and_I'm_proud_of_it._Don't_you_patronize_me.
str_npc4_backstory_a Australia,_mate._Born_'n_raised_in_Melbourne.
str_npc5_backstory_a Splendid!_I_just_happen_to_be_looking_for_a_field_surgeon_job_myself.
str_npc6_backstory_a Nah,_but_the_way_you_walked_in_made_me_sure_as_hell_you_was_an_Injun.
str_npc7_backstory_a My_tribe_knows_me_as_'He_with_a_thousand_enemies_who_cleverly_decieves',_or_also_as_'Smiling_Rabbit'.__I_am_a_proud_member_of_the_Osage_Tribe.
str_npc8_backstory_a I_have_a_confession_to_make_known._I'm_not_feelin'_too_welcome_around_here.
str_npc9_backstory_a Oh!_You_don't_know_what_you're_missin!
str_npc10_backstory_a I_am_not_a_good_man,_but_I_am_not_evil_either._My_village_has_always_fought_with_the_Apache._They_raid_our_lands_and_steal_our_horses,_and_then_we_chase_them_down_and_steal_theirs._Men_die_on_both_sides,_and_sometimes_women_and_children_are_even_captured.
str_npc11_backstory_a My_people,_my_village,_my_husband,_and_my_children_have_all_become_memories.__This_is_because_of_the_white_man_and_the_brown_man._We_were_raided_over_and_over_until_we_had_nothing_left_but_pain.
str_npc12_backstory_a Ah_hell._I_thought_you_were_gonna_ask_for_my_autograph._Turns_out_I'm_famous_now_that_they've_started_writing_me_into_those_damn_dime_novels.
str_npc13_backstory_a My_name_is_Romero,_but_everyone_calls_me_'Romeo'._I_know_I'm_not_a_handsome_man,_but_I_don't_mind_bein'_made_fun_of.
str_npc14_backstory_a There_is_no_word_for_hello_in_my_language,_so_I_will_greet_you_with_yours._Hello,_I_am_known_to_my_tribe_as_Thunder_Seeker.
str_npc15_backstory_a You_do_much_to_make_an_old_man_feel_welcome_again.
str_npc16_backstory_a My_name_is_Jill._Everyone_'round_here_calls_me_Catastrophe_Jill._Seems_that_I'm_having_myself_a_run_of_bad_luck._But_don't_think_I'm_some_little_sunflower._I've_ridden_with_the_meanest_men_to_ever_saddle_up_a_horse,_and_I_have_a_mouth_of_pure_fuckin'_cussedness_to_prove_it.
str_npc17_backstory_a Yeah,_and_don't_I_know_it!_People_around_here_look_at_a_fellow_like_me_and_either_think_I'm_a_good_worker_or_a_big_problem._I_know_a_little_about_both.
str_npc18_backstory_a Finishing_my_drink_before_I_get_out_of_here.
str_npc1_backstory_b Well,_I_am_an_adventurer_you_see.
str_npc2_backstory_b I_come_from_China_work_so_hard_on_railroad_for_family!_We_get_pay_barely_any_little!_My_best_friend_have_his_leg_blow_right_off_in_big_explosion!
str_npc3_backstory_b I_was_born_a_clown_and_I'll_die_a_clown,_too._Well,_maybe_I_wasn't_born_a_clown._But_I_been_clowning_ever_since_'58,_when_I_first_heard_the_calling._Hard_life,_clown_on_the_road._Hey,_why_did_the_clown_cross_the_road?
str_npc4_backstory_b See,_mate,_I_was_livin'_it_up_real_well,_right_well,_until_I_stepped_on_the_wrong_toes,_so_to_speak._Messed_with_the_wrong_blokes.
str_npc5_backstory_b I've_spent_some_time_in_the_prairies_and_have_scaled_many_a_mesa._I've_been_to_every_local_Indian_village_and_met_a_few_great_medicine_men.
str_npc6_backstory_b My_whole_family_got_fuckin'_burned_alive_by_Injuns._Swear_to_God_I'll_kill_every_one_of_'em.
str_npc7_backstory_b Although_we_have_worked_with_the_whites,_the_Osage_have_recently_been_sent_to_the_reservation._I_fear_that_my_tribe_will_find_just_another_enemy_in_the_white_man._We_have_many_enemies_now._We_are_all_smiling_rabbits.
str_npc8_backstory_b Ya_see,_the_southerners_here_hate_me_for_the_usual_reasons,_but_what's_surprisin_is_the_northerners._They_won't_so_much_as_talk_to_me._Nevermind_that_I_fought_and_shed_blood_as_infantry_for_the_north_as_a_proud_member_of_the_volunteer_army.
str_npc9_backstory_b My_name's_Sally._Everyone_I've_ever_known_has_called_me_'Red_Haired'_Sally_on_account_of_my_fiery_demeanor._Ma_and_Pa_were_Irish,_and_worked_on_the_railroad.
str_npc10_backstory_b I_was_once_a_farmer._I_made_the_seasonal_trip_to_town_to_sell_my_crop.__When_I_returned_home,_I_found_that_our_village_had_been_raided._My_two_girls_were_taken_by_the_Apache,_and_my_wife_died_trying_to_protect_them._The_Apache_had_stolen_many_horses,_and_they_left_a_good_trail_for_me_to_follow._Within_two_days_I_had_reached_their_camp.
str_npc11_backstory_b I_was_once_a_powerful_and_respected_woman_in_my_tribe._I_was_the_favorite_wife_of_our_chieftan,_and_I_was_adored_by_all_for_my_beauty._On_my_last_day_with_my_family,_the_white_man_attacked_us_at_dawn._I_saw_every_man_butchered_and_every_woman_and_child_taken_captive._When_the_figthing_was_over,_the_women_and_children_were_given_to_the_Osage_scouts_who_helped_the_white_man.__They_were_all_scalped.
str_npc12_backstory_b I'm_a_gambler_first_and_a_gun_fighter_second._Thing_is,_you_gotta_be_both_if_you_wanna_be_good_at_either_one._And_lucky_for_me,_I'm_the_best_at_both._Problem_is...now_that_I'm_famous,_every_dumb_kid_with_a_name_to_make_for_himself_comes_up_and_challenges_me_to_a_showdown.
str_npc13_backstory_b I'm_the_son_of_a_negro_man_and_a_Comanche_woman._I_grew_up_living_with_the_Comanche,_and_I_learned_their_ways_at_an_early_age._More_importantly,_I_learned_the_language._I've_managed_to_pick_up_quite_a_bit_of_the_other_native_languages_in_the_region_as_well.
str_npc14_backstory_b I_am_a_dog_soldier_of_the_Cheyenne._I_have_come_to_the_lands_of_our_old_enemies,_the_Comanche_and_the_Apachean_tribes_to_spread_the_warning_and_raise_support_against_our_true_common_enemy.
str_npc15_backstory_b I_am_medicine_man_of_the_Oglala_Lakota,_or_at_least_I_was._A_man_known_as_Red_Cloud_promised_to_lead_our_tribe_in_war_against_the_white_man._I_urged_him_and_the_rest_of_our_tribe_to_stop._I_tried_to_tell_them_that_the_only_peace_to_be_had_with_the_white_man_is_the_peace_that_a_treaty_can_bring._War_will_only_bring_death_to_our_people.
str_npc16_backstory_b My_family_moved_out_west_from_Missouri_when_I_was_just_a_little_shit._We_had_so_many_problems_right_from_the_start:_oxen_dyin',_wagon_wheels_breakin'_down,_cholera,_dysentary,_and_failed_huntin'_trips._Hell,_even_when_we_did_get_some_meat,_we_could_only_carry_a_little_back_to_the_wagon!_On_top_of_all_that,_we_got_a_late_start_that_year,_so_we_carried_on_with_meager_rations_and_a_grueling_pace._We_should_have_seen_disaster_comin',_and_it_didn't_end_well.
str_npc17_backstory_b I_actually_used_to_pull_the_plow_myself_on_the_plantation_when_the_horses_died._You'd_think_they'd_have_been_happy,_but_my_old_masters_saw_it_as_another_reason_to_give_me_the_whip._They_used_to_do_it_just_to_keep_me_in_line._They_knew_that_if_I_got_smart,_that_would_be_the_end_of_somebody._Well,_I_was_smart,_cause_I_didn't_kill_nobody._When_that_war_came_to_an_end_I_got_out_of_Missouri_faster_than_a_bullet_from_a_gun.
str_npc18_backstory_b You_see,_I'm_on_the_run._Wanted_in_four_states._Texas_ain't_one_of_'em..._yet.
str_npc1_backstory_c A_pistolier_by_trade_and_I_was_wondering_perhaps_if_you_were_in_need_of_any_extra_shootists_in_your_band?
str_npc2_backstory_c Now_I_need_job_because_railroad_is_no_more_built!
str_npc3_backstory_c To_catch_his_rubber_chicken._HA_HA_HA._Ha._Sorry,_I'm_a_little_drunk._(hic)
str_npc4_backstory_c Decided_England_was_a_right_shithole_and_not_worth_the_boat_ride_there,_so_I_got_on_a_boat_to_Texas_with_the_cash_I_had_left_and_made_my_way_over_here.
str_npc5_backstory_c I_recieved_my_doctor_education_back_in_England,_but_my_true_skills_as_a_doctor_come_from_what_I've_learned_on_my_journeys_here.
str_npc6_backstory_c I_got_my_Colt_and_my_axe,_the_only_damn_things_I_could_grab_while_those_savages_burned_my_family_farm_to_the_ground.
str_npc7_backstory_c Until_recently,_I_served_the_United_States_Army_in_expeditions_as_a_scout,_but_I_have_been_released_from_my_duty.
str_npc8_backstory_c Despite_my_flawless_service,_I_was_never_recognized._Worse_yet,_my_unit_was_disbanded_following_the_war,_and_I_found_myself_with_nothing_to_show_for_all_the_fighting,_'cept_for_the_pride_of_knowing_I_helped_to_free_many_of_my_brothers_and_sisters_of_course.
str_npc9_backstory_c Ma_wasn't_no_good_at_swingin'_a_sledgehammer,_so_she_worked_as_a_cook_for_the_workers._I_grew_up_workin'_with_her,_and_she_taught_me_everything_she_knew.
